alg,mtx,i,j,k,t,GFLOPS
basic,arc130,130,130,130,0.0039827,1.10327164988576
loop-swap,arc130,130,130,130,0.0011558,3.80169579512026
tile-avx,arc130,130,130,130,0.00041,10.7170731707317
tile-sse,arc130,130,130,130,0.000822466666666667,5.34246575342466
basic,t_ash958,292,292,958,0.100321333333333,1.62842556584841
loop-swap,t_ash958,292,292,958,0.0256406333333333,6.37136461787865
tile-avx,t_ash958,292,292,958,0.0100731333333333,16.2179749432484
tile-sse,t_ash958,292,292,958,0.0183462,8.90461370747076
basic,G6,800,800,800,0.527898733333333,1.939765972792
loop-swap,G6,800,800,800,0.116200033333333,8.81238989891282
tile-avx,G6,800,800,800,0.0418716333333333,24.4556975326972
tile-sse,G6,800,800,800,0.0885283,11.5669226676667
basic,ash958,958,958,292,0.273862033333333,1.95709558377387
loop-swap,ash958,958,958,292,0.0744046666666667,7.20350214592275
tile-avx,ash958,958,958,292,0.0252903,21.1928753711897
tile-sse,ash958,958,958,292,0.0535237333333333,10.0137666530486
basic,tols1090,1090,1090,1090,1.29143566666667,2.00556486618123
loop-swap,tols1090,1090,1090,1090,0.275623666666667,9.39708128595634
tile-avx,tols1090,1090,1090,1090,0.0913168,28.3634336726648
tile-sse,tols1090,1090,1090,1090,0.201750233333333,12.8379430209664
basic,bcspwr06,1454,1454,1454,2.9895798,2.0564258990511
loop-swap,bcspwr06,1454,1454,1454,0.619983166666667,9.91615524184931
tile-avx,bcspwr06,1454,1454,1454,0.200631033333333,30.6425642427202
tile-sse,bcspwr06,1454,1454,1454,0.462977,13.2789519306575
basic,bcsstk13,2003,2003,2003,7.64292016666667,2.10287530204696
loop-swap,bcsstk13,2003,2003,2003,1.6415602,9.79075153868862
tile-avx,bcsstk13,2003,2003,2003,0.507105566666667,31.6938111321594
tile-sse,bcsstk13,2003,2003,2003,1.21242313333333,13.2561872271545
