STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.39435317 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region csr,Group 1 Raw,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
RDTSC Runtime [s],2.545636,2.490645,2.495523,2.467345,2.482549,2.436893,2.494814,2.469347,2.648590,2.794843,2.784083,2.803665,2.826301,2.801191,2.781842,2.761683,2.427353,2.443132,2.456376,2.407154,2.407537,2.389250,2.452070,2.373371,2.609565,2.755894,2.727094,2.758088,2.787881,2.772502,2.726507,2.749770,
call count,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31
INSTR_RETIRED_ANY,FIXC0,4995966000,4930864000,4961649000,4919051000,4936555000,4877007000,4946291000,4907797000,5151010000,5406580000,5362598000,5407839000,5452631000,5411551000,5363336000,5366990000,4918090000,4912025000,4934335000,4887658000,4893047000,4851094000,4925903000,4857551000,5135258000,5388877000,5339592000,5369834000,5420783000,5383370000,5328686000,5364634000
CPU_CLK_UNHALTED_CORE,FIXC1,6818139000,6711931000,6764396000,6692747000,6732425000,6619175000,6757128000,6676341000,7239063000,7547596000,7485116000,7558051000,7637649000,7571046000,7505945000,7525211000,6640413000,6645920000,6694242000,6593777000,6593794000,6518016000,6686145000,6534751000,7195576000,7515242000,7435684000,7496029000,7580104000,7526467000,7443164000,7507133000
CPU_CLK_UNHALTED_REF,FIXC2,6325295000,6227369000,6277086000,6210197000,6250892000,6147152000,6273876000,6191842000,6735692000,7024190000,6963761000,7025891000,7095912000,7030793000,6967826000,6973732000,6160427000,6166086000,6212225000,6118771000,6123119000,6053247000,6205831000,6059404000,6694780000,6991535000,6913192000,6967962000,7042528000,6989420000,6909150000,6956805000
UOPS_ISSUED_ANY,PMC0,5592920000,5455511000,5515946000,5433729000,5469855000,5349350000,5485442000,5407379000,5896969000,6403329000,6316238000,6404379000,6493683000,6409998000,6313210000,6319804000,5421977000,5407686000,5452463000,5358179000,5368346000,5283688000,5432769000,5295775000,5852006000,6355023000,6256642000,6315578000,6416522000,6341225000,6231034000,6299118000
UOPS_EXECUTED_THREAD,PMC1,6264850000,6171233000,6211027000,6157476000,6184183000,6102969000,6190497000,6146800000,6452783000,6767021000,6712200000,6771092000,6826866000,6772001000,6712969000,6717218000,5288304000,5279193000,5305163000,5252168000,5258170000,5209851000,5295183000,5213706000,5553556000,5865127000,5804008000,5841595000,5905473000,5859282000,5792504000,5832829000
UOPS_RETIRED_ALL,PMC2,6169238000,6032042000,6090976000,6008828000,6044004000,5923917000,6060190000,5982390000,6471029000,6980402000,6892090000,6981480000,7070388000,6986788000,6889051000,6895067000,5996996000,5983575000,6027593000,5933677000,5942823000,5858857000,6007702000,5870716000,6426115000,6931712000,6832226000,6892020000,6992779000,6917585000,6806694000,6875046000
UOPS_ISSUED_FLAGS_MERGE,PMC3,7343372,7384988,7460438,7475798,7540568,7545229,7632672,7647539,7674864,7701064,7750114,7794083,7863643,7860996,7930021,8003258,7982699,8026839,8071226,8106720,8160670,8166230,8248666,8269264,8318793,8345241,8386201,8422903,8493953,8511950,8556965,8653429
