thread,m,n,p,shape,N,density,time
32, 100, 100, 100,1.000000, 1000000, 0.250000, 0.000677
32, 100, 100, 100,1.000000, 1000000, 0.250000, 0.001882
32, 100, 100, 100,1.000000, 1000000, 0.250000, 0.000560
32, 100, 100, 100,1.000000, 1000000, 0.250000, 0.005392
32, 100, 100, 100,1.000000, 1000000, 0.250000, 0.010603
32, 100, 100, 100,1.000000, 1000000, 0.250000, 0.000544
32, 100, 100, 100,1.000000, 1000000, 0.250000, 0.007584
32, 100, 100, 100,1.000000, 1000000, 0.250000, 0.000922
32, 100, 100, 100,1.000000, 1000000, 0.250000, 0.003458
32, 100, 100, 100,1.000000, 1000000, 0.250000, 0.004918
32, 100, 100, 100,1.000000, 1000000, 0.500000, 0.003941
32, 100, 100, 100,1.000000, 1000000, 0.500000, 0.009256
32, 100, 100, 100,1.000000, 1000000, 0.500000, 0.000911
32, 100, 100, 100,1.000000, 1000000, 0.500000, 0.000848
32, 100, 100, 100,1.000000, 1000000, 0.500000, 0.002047
32, 100, 100, 100,1.000000, 1000000, 0.500000, 0.002002
32, 100, 100, 100,1.000000, 1000000, 0.500000, 0.007647
32, 100, 100, 100,1.000000, 1000000, 0.500000, 0.005195
32, 100, 100, 100,1.000000, 1000000, 0.500000, 0.000706
32, 100, 100, 100,1.000000, 1000000, 0.500000, 0.002049
32, 100, 100, 100,1.000000, 1000000, 0.750000, 0.000584
32, 100, 100, 100,1.000000, 1000000, 0.750000, 0.003373
32, 100, 100, 100,1.000000, 1000000, 0.750000, 0.000945
32, 100, 100, 100,1.000000, 1000000, 0.750000, 0.005723
32, 100, 100, 100,1.000000, 1000000, 0.750000, 0.000607
32, 100, 100, 100,1.000000, 1000000, 0.750000, 0.000887
32, 100, 100, 100,1.000000, 1000000, 0.750000, 0.002321
32, 100, 100, 100,1.000000, 1000000, 0.750000, 0.001226
32, 100, 100, 100,1.000000, 1000000, 0.750000, 0.001063
32, 100, 100, 100,1.000000, 1000000, 0.750000, 0.000872
32, 100, 100, 100,1.000000, 1000000, 1.000000, 0.002565
32, 100, 100, 100,1.000000, 1000000, 1.000000, 0.001234
32, 100, 100, 100,1.000000, 1000000, 1.000000, 0.000879
32, 100, 100, 100,1.000000, 1000000, 1.000000, 0.000293
32, 100, 100, 100,1.000000, 1000000, 1.000000, 0.005459
32, 100, 100, 100,1.000000, 1000000, 1.000000, 0.005255
32, 100, 100, 100,1.000000, 1000000, 1.000000, 0.005433
32, 100, 100, 100,1.000000, 1000000, 1.000000, 0.000778
32, 100, 100, 100,1.000000, 1000000, 1.000000, 0.002672
32, 100, 100, 100,1.000000, 1000000, 1.000000, 0.002153
32, 100, 1000, 100,0.100000, 10000000, 0.250000, 0.004110
32, 100, 1000, 100,0.100000, 10000000, 0.250000, 0.005181
32, 100, 1000, 100,0.100000, 10000000, 0.250000, 0.008009
32, 100, 1000, 100,0.100000, 10000000, 0.250000, 0.005791
32, 100, 1000, 100,0.100000, 10000000, 0.250000, 0.001824
32, 100, 1000, 100,0.100000, 10000000, 0.250000, 0.002319
32, 100, 1000, 100,0.100000, 10000000, 0.250000, 0.004180
32, 100, 1000, 100,0.100000, 10000000, 0.250000, 0.001807
32, 100, 1000, 100,0.100000, 10000000, 0.250000, 0.005579
32, 100, 1000, 100,0.100000, 10000000, 0.250000, 0.001621
32, 100, 1000, 100,0.100000, 10000000, 0.500000, 0.001649
32, 100, 1000, 100,0.100000, 10000000, 0.500000, 0.002211
32, 100, 1000, 100,0.100000, 10000000, 0.500000, 0.001908
32, 100, 1000, 100,0.100000, 10000000, 0.500000, 0.002357
32, 100, 1000, 100,0.100000, 10000000, 0.500000, 0.001833
32, 100, 1000, 100,0.100000, 10000000, 0.500000, 0.007235
32, 100, 1000, 100,0.100000, 10000000, 0.500000, 0.001824
32, 100, 1000, 100,0.100000, 10000000, 0.500000, 0.002766
32, 100, 1000, 100,0.100000, 10000000, 0.500000, 0.001287
32, 100, 1000, 100,0.100000, 10000000, 0.500000, 0.001628
32, 100, 1000, 100,0.100000, 10000000, 0.750000, 0.001668
32, 100, 1000, 100,0.100000, 10000000, 0.750000, 0.002237
32, 100, 1000, 100,0.100000, 10000000, 0.750000, 0.001686
32, 100, 1000, 100,0.100000, 10000000, 0.750000, 0.002390
32, 100, 1000, 100,0.100000, 10000000, 0.750000, 0.002852
32, 100, 1000, 100,0.100000, 10000000, 0.750000, 0.008550
32, 100, 1000, 100,0.100000, 10000000, 0.750000, 0.001924
32, 100, 1000, 100,0.100000, 10000000, 0.750000, 0.002506
32, 100, 1000, 100,0.100000, 10000000, 0.750000, 0.005600
32, 100, 1000, 100,0.100000, 10000000, 0.750000, 0.006719
32, 100, 1000, 100,0.100000, 10000000, 1.000000, 0.002611
32, 100, 1000, 100,0.100000, 10000000, 1.000000, 0.002721
32, 100, 1000, 100,0.100000, 10000000, 1.000000, 0.001856
32, 100, 1000, 100,0.100000, 10000000, 1.000000, 0.002700
32, 100, 1000, 100,0.100000, 10000000, 1.000000, 0.013575
32, 100, 1000, 100,0.100000, 10000000, 1.000000, 0.002149
32, 100, 1000, 100,0.100000, 10000000, 1.000000, 0.001993
32, 100, 1000, 100,0.100000, 10000000, 1.000000, 0.004257
32, 100, 1000, 100,0.100000, 10000000, 1.000000, 0.001625
32, 100, 1000, 100,0.100000, 10000000, 1.000000, 0.002796
32, 100, 5000, 100,0.020000, 50000000, 0.250000, 0.006004
32, 100, 5000, 100,0.020000, 50000000, 0.250000, 0.005849
32, 100, 5000, 100,0.020000, 50000000, 0.250000, 0.009449
32, 100, 5000, 100,0.020000, 50000000, 0.250000, 0.005345
32, 100, 5000, 100,0.020000, 50000000, 0.250000, 0.005726
32, 100, 5000, 100,0.020000, 50000000, 0.250000, 0.005415
32, 100, 5000, 100,0.020000, 50000000, 0.250000, 0.015027
32, 100, 5000, 100,0.020000, 50000000, 0.250000, 0.004750
32, 100, 5000, 100,0.020000, 50000000, 0.250000, 0.010394
32, 100, 5000, 100,0.020000, 50000000, 0.250000, 0.005367
32, 100, 5000, 100,0.020000, 50000000, 0.500000, 0.010791
32, 100, 5000, 100,0.020000, 50000000, 0.500000, 0.008635
32, 100, 5000, 100,0.020000, 50000000, 0.500000, 0.008431
32, 100, 5000, 100,0.020000, 50000000, 0.500000, 0.005754
32, 100, 5000, 100,0.020000, 50000000, 0.500000, 0.011142
32, 100, 5000, 100,0.020000, 50000000, 0.500000, 0.009015
32, 100, 5000, 100,0.020000, 50000000, 0.500000, 0.005436
32, 100, 5000, 100,0.020000, 50000000, 0.500000, 0.013722
32, 100, 5000, 100,0.020000, 50000000, 0.500000, 0.005108
32, 100, 5000, 100,0.020000, 50000000, 0.500000, 0.005453
32, 100, 5000, 100,0.020000, 50000000, 0.750000, 0.005920
32, 100, 5000, 100,0.020000, 50000000, 0.750000, 0.008773
32, 100, 5000, 100,0.020000, 50000000, 0.750000, 0.014917
32, 100, 5000, 100,0.020000, 50000000, 0.750000, 0.005368
32, 100, 5000, 100,0.020000, 50000000, 0.750000, 0.005227
32, 100, 5000, 100,0.020000, 50000000, 0.750000, 0.005811
32, 100, 5000, 100,0.020000, 50000000, 0.750000, 0.014100
32, 100, 5000, 100,0.020000, 50000000, 0.750000, 0.009502
32, 100, 5000, 100,0.020000, 50000000, 0.750000, 0.008346
32, 100, 5000, 100,0.020000, 50000000, 0.750000, 0.009229
32, 100, 5000, 100,0.020000, 50000000, 1.000000, 0.019622
32, 100, 5000, 100,0.020000, 50000000, 1.000000, 0.009711
32, 100, 5000, 100,0.020000, 50000000, 1.000000, 0.005300
32, 100, 5000, 100,0.020000, 50000000, 1.000000, 0.009363
32, 100, 5000, 100,0.020000, 50000000, 1.000000, 0.008277
32, 100, 5000, 100,0.020000, 50000000, 1.000000, 0.008819
32, 100, 5000, 100,0.020000, 50000000, 1.000000, 0.010060
32, 100, 5000, 100,0.020000, 50000000, 1.000000, 0.005544
32, 100, 5000, 100,0.020000, 50000000, 1.000000, 0.005745
32, 100, 5000, 100,0.020000, 50000000, 1.000000, 0.005876
32, 400, 100, 400,4.000000, 16000000, 0.250000, 0.001073
32, 400, 100, 400,4.000000, 16000000, 0.250000, 0.001227
32, 400, 100, 400,4.000000, 16000000, 0.250000, 0.003700
32, 400, 100, 400,4.000000, 16000000, 0.250000, 0.009739
32, 400, 100, 400,4.000000, 16000000, 0.250000, 0.005449
32, 400, 100, 400,4.000000, 16000000, 0.250000, 0.002131
32, 400, 100, 400,4.000000, 16000000, 0.250000, 0.002071
32, 400, 100, 400,4.000000, 16000000, 0.250000, 0.001957
32, 400, 100, 400,4.000000, 16000000, 0.250000, 0.002411
32, 400, 100, 400,4.000000, 16000000, 0.250000, 0.000870
32, 400, 100, 400,4.000000, 16000000, 0.500000, 0.002309
32, 400, 100, 400,4.000000, 16000000, 0.500000, 0.000870
32, 400, 100, 400,4.000000, 16000000, 0.500000, 0.003625
32, 400, 100, 400,4.000000, 16000000, 0.500000, 0.009025
32, 400, 100, 400,4.000000, 16000000, 0.500000, 0.003558
32, 400, 100, 400,4.000000, 16000000, 0.500000, 0.002126
32, 400, 100, 400,4.000000, 16000000, 0.500000, 0.001552
32, 400, 100, 400,4.000000, 16000000, 0.500000, 0.001984
32, 400, 100, 400,4.000000, 16000000, 0.500000, 0.000872
32, 400, 100, 400,4.000000, 16000000, 0.500000, 0.005646
32, 400, 100, 400,4.000000, 16000000, 0.750000, 0.000882
32, 400, 100, 400,4.000000, 16000000, 0.750000, 0.005124
32, 400, 100, 400,4.000000, 16000000, 0.750000, 0.001172
32, 400, 100, 400,4.000000, 16000000, 0.750000, 0.005568
32, 400, 100, 400,4.000000, 16000000, 0.750000, 0.000863
