thread,m,n,p,shape,N,density,time
32, 800,800,800,1.0,512000000,0.0000374531,0.008487
32, 800,800,800,1.0,512000000,0.0000374531,0.009878
32, 800,800,800,1.0,512000000,0.0000374531,0.014114
32, 800,800,800,1.0,512000000,0.0000374531,0.010185
32, 800,800,800,1.0,512000000,0.0000374531,0.009959
32, 800,800,800,1.0,512000000,0.0000374531,0.010880
32, 800,800,800,1.0,512000000,0.0000374531,0.012627
32, 800,800,800,1.0,512000000,0.0000374531,0.009925
32, 800,800,800,1.0,512000000,0.0000374531,0.008282
32, 800,800,800,1.0,512000000,0.0000374531,0.009666
32, 800,800,800,1.0,512000000,0.0000374531,0.008670
32, 800,800,800,1.0,512000000,0.0000374531,0.011408
32, 800,800,800,1.0,512000000,0.0000374531,0.009272
32, 800,800,800,1.0,512000000,0.0000374531,0.009641
32, 800,800,800,1.0,512000000,0.0000374531,0.011083
32, 800,800,800,1.0,512000000,0.0000374531,0.008462
32, 800,800,800,1.0,512000000,0.0000374531,0.019503
32, 800,800,800,1.0,512000000,0.0000374531,0.009659
32, 800,800,800,1.0,512000000,0.0000374531,0.010083
32, 800,800,800,1.0,512000000,0.0000374531,0.008199
32, 800,800,800,1.0,512000000,0.0000374531,0.013246
32, 800,800,800,1.0,512000000,0.0000374531,0.008026
32, 800,800,800,1.0,512000000,0.0000374531,0.019595
32, 800,800,800,1.0,512000000,0.0000374531,0.016550
32, 800,800,800,1.0,512000000,0.0000374531,0.015063
32, 800,800,800,1.0,512000000,0.0000374531,0.018234
32, 800,800,800,1.0,512000000,0.0000374531,0.015093
32, 800,800,800,1.0,512000000,0.0000374531,0.008680
32, 800,800,800,1.0,512000000,0.0000374531,0.011833
32, 800,800,800,1.0,512000000,0.0000374531,0.013517
32, 130,130,130,1.0,2197000,0.000583523,0.006671
32, 130,130,130,1.0,2197000,0.000583523,0.005452
32, 130,130,130,1.0,2197000,0.000583523,0.008909
32, 130,130,130,1.0,2197000,0.000583523,0.004248
32, 130,130,130,1.0,2197000,0.000583523,0.000593
32, 130,130,130,1.0,2197000,0.000583523,0.004252
32, 130,130,130,1.0,2197000,0.000583523,0.015726
32, 130,130,130,1.0,2197000,0.000583523,0.002634
32, 130,130,130,1.0,2197000,0.000583523,0.008656
32, 130,130,130,1.0,2197000,0.000583523,0.001342
32, 130,130,130,1.0,2197000,0.000583523,0.007032
32, 130,130,130,1.0,2197000,0.000583523,0.004113
32, 130,130,130,1.0,2197000,0.000583523,0.005337
32, 130,130,130,1.0,2197000,0.000583523,0.005518
32, 130,130,130,1.0,2197000,0.000583523,0.006199
32, 130,130,130,1.0,2197000,0.000583523,0.009503
32, 130,130,130,1.0,2197000,0.000583523,0.009882
32, 130,130,130,1.0,2197000,0.000583523,0.003467
32, 130,130,130,1.0,2197000,0.000583523,0.000335
32, 130,130,130,1.0,2197000,0.000583523,0.004065
32, 130,130,130,1.0,2197000,0.000583523,0.006624
32, 130,130,130,1.0,2197000,0.000583523,0.004313
32, 130,130,130,1.0,2197000,0.000583523,0.007300
32, 130,130,130,1.0,2197000,0.000583523,0.006231
32, 130,130,130,1.0,2197000,0.000583523,0.000679
32, 130,130,130,1.0,2197000,0.000583523,0.008401
32, 130,130,130,1.0,2197000,0.000583523,0.005068
32, 130,130,130,1.0,2197000,0.000583523,0.006926
32, 130,130,130,1.0,2197000,0.000583523,0.002225
32, 130,130,130,1.0,2197000,0.000583523,0.010307
32, 958,292,958,3.2808,267987088,0.0000071496,0.014706
32, 958,292,958,3.2808,267987088,0.0000071496,0.005773
32, 958,292,958,3.2808,267987088,0.0000071496,0.007670
32, 958,292,958,3.2808,267987088,0.0000071496,0.007207
32, 958,292,958,3.2808,267987088,0.0000071496,0.009747
32, 958,292,958,3.2808,267987088,0.0000071496,0.010229
32, 958,292,958,3.2808,267987088,0.0000071496,0.009976
32, 958,292,958,3.2808,267987088,0.0000071496,0.005974
32, 958,292,958,3.2808,267987088,0.0000071496,0.007319
32, 958,292,958,3.2808,267987088,0.0000071496,0.007366
32, 958,292,958,3.2808,267987088,0.0000071496,0.008036
32, 958,292,958,3.2808,267987088,0.0000071496,0.010682
32, 958,292,958,3.2808,267987088,0.0000071496,0.009067
32, 958,292,958,3.2808,267987088,0.0000071496,0.008250
32, 958,292,958,3.2808,267987088,0.0000071496,0.007138
32, 958,292,958,3.2808,267987088,0.0000071496,0.005361
32, 958,292,958,3.2808,267987088,0.0000071496,0.005060
32, 958,292,958,3.2808,267987088,0.0000071496,0.007934
32, 958,292,958,3.2808,267987088,0.0000071496,0.006495
32, 958,292,958,3.2808,267987088,0.0000071496,0.012047
32, 958,292,958,3.2808,267987088,0.0000071496,0.006774
32, 958,292,958,3.2808,267987088,0.0000071496,0.005693
32, 958,292,958,3.2808,267987088,0.0000071496,0.007049
32, 958,292,958,3.2808,267987088,0.0000071496,0.009976
32, 958,292,958,3.2808,267987088,0.0000071496,0.007239
32, 958,292,958,3.2808,267987088,0.0000071496,0.006976
32, 958,292,958,3.2808,267987088,0.0000071496,0.008248
32, 958,292,958,3.2808,267987088,0.0000071496,0.009726
32, 958,292,958,3.2808,267987088,0.0000071496,0.007091
32, 958,292,958,3.2808,267987088,0.0000071496,0.007296
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.033577
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.033452
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.032240
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.033742
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.033994
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.036215
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.031691
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.034348
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.034473
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.032347
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.044547
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.035827
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.034747
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.032420
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.033612
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.032177
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.033594
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.034574
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.031124
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.033073
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.035645
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.033057
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.034651
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.033872
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.036528
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.032713
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.034270
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.031691
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.031767
32, 1454,1454,1454,1.0,3073924664,0.0000010986,0.033681
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.075681
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.076100
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.073912
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.074309
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.075734
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.078167
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.075902
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.077758
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.073503
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.074639
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.076664
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.075640
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.078775
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.073872
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.074767
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.075075
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.076173
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.075479
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.074798
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.076947
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.077416
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.076275
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.074515
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.076828
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.074490
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.074610
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.077458
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.076065
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.074716
32, 2003,2003,2003,1.0,8036054027,0.00000534379,0.074892
32, 292,958,292,0.30480167,81682912,0.00001560914,0.015778
32, 292,958,292,0.30480167,81682912,0.00001560914,0.005003
32, 292,958,292,0.30480167,81682912,0.00001560914,0.013527
32, 292,958,292,0.30480167,81682912,0.00001560914,0.008947
32, 292,958,292,0.30480167,81682912,0.00001560914,0.012746
32, 292,958,292,0.30480167,81682912,0.00001560914,0.008492
32, 292,958,292,0.30480167,81682912,0.00001560914,0.005982
32, 292,958,292,0.30480167,81682912,0.00001560914,0.003632
32, 292,958,292,0.30480167,81682912,0.00001560914,0.006662
32, 292,958,292,0.30480167,81682912,0.00001560914,0.005319
32, 292,958,292,0.30480167,81682912,0.00001560914,0.005545
32, 292,958,292,0.30480167,81682912,0.00001560914,0.002863
32, 292,958,292,0.30480167,81682912,0.00001560914,0.006971
32, 292,958,292,0.30480167,81682912,0.00001560914,0.003264
32, 292,958,292,0.30480167,81682912,0.00001560914,0.002806
32, 292,958,292,0.30480167,81682912,0.00001560914,0.009404
32, 292,958,292,0.30480167,81682912,0.00001560914,0.011374
32, 292,958,292,0.30480167,81682912,0.00001560914,0.012484
32, 292,958,292,0.30480167,81682912,0.00001560914,0.003171
32, 292,958,292,0.30480167,81682912,0.00001560914,0.011560
32, 292,958,292,0.30480167,81682912,0.00001560914,0.013308
32, 292,958,292,0.30480167,81682912,0.00001560914,0.014458
32, 292,958,292,0.30480167,81682912,0.00001560914,0.005162
32, 292,958,292,0.30480167,81682912,0.00001560914,0.005852
32, 292,958,292,0.30480167,81682912,0.00001560914,0.005260
32, 292,958,292,0.30480167,81682912,0.00001560914,0.006517
32, 292,958,292,0.30480167,81682912,0.00001560914,0.007949
32, 292,958,292,0.30480167,81682912,0.00001560914,0.011618
32, 292,958,292,0.30480167,81682912,0.00001560914,0.006425
32, 292,958,292,0.30480167,81682912,0.00001560914,0.005488
