alg,thread,m,n,shape,N,density,time
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000245
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.000922
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000656
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.001686
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000892
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.001674
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000858
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.000630
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000313
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.001676
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.001896
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.000132
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000354
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.000891
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000471
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.000688
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.002355
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.000135
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000228
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.000576
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.001838
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.000110
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000665
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.000571
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000338
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.003087
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000276
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.001953
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.001697
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.000285
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000619
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.000615
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000653
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.000613
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000750
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.000709
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000644
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.000898
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000307
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.001024
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000227
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.000634
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000887
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.000150
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000444
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.000149
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000706
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.001734
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000335
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.000224
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.001483
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.001733
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000662
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.000203
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000451
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.001668
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000829
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.000643
COO,32, 130, 130,1.000000, 16900, 0.061361, 0.000960
CSR,32, 130, 130,1.000000, 16900, 0.061361, 0.000635
COO,32, 958, 292,3.280822, 279736, 0.006849, 0.000704
CSR,32, 958, 292,3.280822, 279736, 0.006849, 0.000178
COO,32, 958, 292,3.280822, 279736, 0.006849, 0.000179
CSR,32, 958, 292,3.280822, 279736, 0.006849, 0.000254
COO,32, 958, 292,3.280822, 279736, 0.006849, 0.000579
