STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,
CPU clock:,2.394344992 GHz,
TABLE,Group 1 Raw,MEM,19
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,17523555826
CPU_CLK_UNHALTED_CORE,FIXC1,5818542152
CPU_CLK_UNHALTED_REF,FIXC2,4795987464
CAS_COUNT_RD,MBOX0C0,326600
CAS_COUNT_WR,MBOX0C1,302999
CAS_COUNT_RD,MBOX1C0,328677
CAS_COUNT_WR,MBOX1C1,303955
CAS_COUNT_RD,MBOX2C0,454769
CAS_COUNT_WR,MBOX2C1,428190
CAS_COUNT_RD,MBOX3C0,329094
CAS_COUNT_WR,MBOX3C1,303582
CAS_COUNT_RD,MBOX4C0,0
CAS_COUNT_WR,MBOX4C1,0
CAS_COUNT_RD,MBOX5C0,0
CAS_COUNT_WR,MBOX5C1,0
CAS_COUNT_RD,MBOX6C0,0
CAS_COUNT_WR,MBOX6C1,0
CAS_COUNT_RD,MBOX7C0,0
CAS_COUNT_WR,MBOX7C1,0
TABLE,Group 1 Metric,MEM,10
Metric,Core 0,
Runtime (RDTSC) [s],2.0393,
Runtime unhalted [s],2.4301,
Clock [MHz],2904.8444,
CPI,0.3320,
Memory read bandwidth [MBytes/s],45.1651,
Memory read data volume [GBytes],0.0921,
Memory write bandwidth [MBytes/s],42.0138,
Memory write data volume [GBytes],0.0857,
Memory bandwidth [MBytes/s],87.1789,
Memory data volume [GBytes],0.1778,
