STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,
CPU clock:,2.39434359 GHz,
TABLE,Group 1 Raw,ICACHE,7
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,27781003456
CPU_CLK_UNHALTED_CORE,FIXC1,12064030284
CPU_CLK_UNHALTED_REF,FIXC2,9497872104
ICACHE_ACCESSES,PMC0,173159356
ICACHE_MISSES,PMC1,39014
ICACHE_IFETCH_STALL,PMC2,496287
ILD_STALL_IQ_FULL,PMC3,53895665
TABLE,Group 1 Metric,ICACHE,11
Metric,Core 0,
Runtime (RDTSC) [s],4.0011,
Runtime unhalted [s],5.0386,
Clock [MHz],3041.2532,
CPI,0.4343,
L1I request rate,0.0062,
L1I miss rate,1.404341e-06,
L1I miss ratio,0.0002,
L1I stalls,496287,
L1I stall rate,1.786426e-05,
L1I queue full stalls,53895665,
L1I queue full stall rate,0.0019,
STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,
CPU clock:,2.39434359 GHz,
TABLE,Group 2 Raw,L2CACHE,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,14952893742
CPU_CLK_UNHALTED_CORE,FIXC1,6498898715
CPU_CLK_UNHALTED_REF,FIXC2,4923062616
L2_TRANS_ALL_REQUESTS,PMC0,2353639883
L2_RQSTS_MISS,PMC1,134736023
TABLE,Group 2 Metric,L2CACHE,7
Metric,Core 0,
Runtime (RDTSC) [s],2.0734,
Runtime unhalted [s],2.7143,
Clock [MHz],3160.7553,
CPI,0.4346,
L2 request rate,0.1574,
L2 miss rate,0.0090,
L2 miss ratio,0.0572,
STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,
CPU clock:,2.39434359 GHz,
TABLE,Group 3 Raw,L3CACHE,6
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,14744465220
CPU_CLK_UNHALTED_CORE,FIXC1,6357893663
CPU_CLK_UNHALTED_REF,FIXC2,4773458352
MEM_LOAD_UOPS_RETIRED_L3_ALL,PMC0,135962651
MEM_LOAD_UOPS_RETIRED_L3_MISS,PMC1,18198
UOPS_RETIRED_ALL,PMC2,16851621085
TABLE,Group 3 Metric,L3CACHE,7
Metric,Core 0,
Runtime (RDTSC) [s],2.0001,
Runtime unhalted [s],2.6554,
Clock [MHz],3189.0887,
CPI,0.4312,
L3 request rate,0.0081,
L3 miss rate,1.079896e-06,
L3 miss ratio,0.0001,
