STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,
CPU clock:,2.394347369 GHz,
TABLE,Group 1 Raw,MEM,19
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,57478330645
CPU_CLK_UNHALTED_CORE,FIXC1,24924514889
CPU_CLK_UNHALTED_REF,FIXC2,19119548256
CAS_COUNT_RD,MBOX0C0,246535
CAS_COUNT_WR,MBOX0C1,252821
CAS_COUNT_RD,MBOX1C0,256329
CAS_COUNT_WR,MBOX1C1,256512
CAS_COUNT_RD,MBOX2C0,750304
CAS_COUNT_WR,MBOX2C1,746694
CAS_COUNT_RD,MBOX3C0,255603
CAS_COUNT_WR,MBOX3C1,255059
CAS_COUNT_RD,MBOX4C0,0
CAS_COUNT_WR,MBOX4C1,0
CAS_COUNT_RD,MBOX5C0,0
CAS_COUNT_WR,MBOX5C1,0
CAS_COUNT_RD,MBOX6C0,0
CAS_COUNT_WR,MBOX6C1,0
CAS_COUNT_RD,MBOX7C0,0
CAS_COUNT_WR,MBOX7C1,0
TABLE,Group 1 Metric,MEM,10
Metric,Core 0,
Runtime (RDTSC) [s],8.0394,
Runtime unhalted [s],10.4097,
Clock [MHz],3121.3053,
CPI,0.4336,
Memory read bandwidth [MBytes/s],12.0110,
Memory read data volume [GBytes],0.0966,
Memory write bandwidth [MBytes/s],12.0295,
Memory write data volume [GBytes],0.0967,
Memory bandwidth [MBytes/s],24.0405,
Memory data volume [GBytes],0.1933,
