STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.394344808 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region coo,Group 1 Raw,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
RDTSC Runtime [s],26.392520,26.389480,26.471330,26.245460,26.265370,26.266180,26.228910,26.288600,25.821040,26.064120,25.995100,26.031520,25.890660,25.911110,25.876700,26.012410,26.348010,26.336360,26.306790,26.298530,26.240650,26.304020,26.232490,26.268890,25.772020,25.998840,25.870470,26.030240,26.064420,25.929920,25.927180,25.930440,
call count,20009,20006,20010,20001,19996,20007,20001,20001,19998,19988,19992,19987,19994,19991,19995,19998,20008,20000,20003,20014,20001,20020,20006,20001,19988,19997,19997,20003,19992,20001,19994,20001,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31
INSTR_RETIRED_ANY,FIXC0,20364950000,19540810000,19729600000,18255460000,19230520000,19706180000,18458990000,19693860000,17563030000,19323290000,19387880000,9482102000,9424822000,18947090000,18101460000,18193700000,20677040000,19358350000,19955570000,17245710000,19589570000,19366500000,18432100000,20112150000,17130890000,19415370000,19924330000,17329850000,18317690000,18258490000,17984660000,17997460000
CPU_CLK_UNHALTED_CORE,FIXC1,67618300000,67728600000,67711440000,67402190000,67209490000,67343980000,66254700000,66400210000,65767440000,66123220000,65709800000,31787460000,31645430000,65958310000,65768230000,65922770000,67601180000,67647950000,67486830000,67595450000,67344920000,67514920000,67344110000,67450560000,65697840000,66228230000,65754730000,66036870000,65721890000,66043100000,65837740000,65883300000
CPU_CLK_UNHALTED_REF,FIXC2,62948660000,62981400000,63050010000,62642280000,62530450000,62737140000,61622350000,61775420000,61655670000,61937440000,61701530000,29974570000,29862210000,61803850000,61732330000,61945910000,62923270000,62905170000,62830600000,62813440000,62647040000,62894640000,62638140000,62740170000,61577440000,62023040000,61720910000,62014570000,61771050000,61874010000,61801770000,61911410000
UOPS_ISSUED_ANY,PMC0,36548320000,34943740000,35311660000,32397200000,34354980000,35268090000,32860520000,35304180000,31148580000,34544340000,34715650000,16993310000,16867390000,33787150000,32206540000,32339730000,37123960000,34619900000,35744920000,30510980000,35003990000,34625940000,32832290000,36053680000,30370740000,34714180000,35714200000,30759410000,32645880000,32475510000,31941670000,31965900000
UOPS_EXECUTED_THREAD,PMC1,32546650000,31430710000,31760300000,29612050000,31099850000,31581670000,29916530000,31555720000,28916260000,31218450000,31391870000,15192090000,15074610000,30569640000,29642510000,29744290000,23640290000,22115750000,22749940000,19649430000,22303610000,22175710000,21016360000,23000930000,19451710000,22123010000,22700570000,19767210000,20905880000,20852840000,20411330000,20423250000
UOPS_RETIRED_ALL,PMC2,36319440000,34672930000,35048510000,32102910000,34049490000,35003290000,32578080000,35047480000,30722930000,34240550000,34369150000,16871820000,16757310000,33485970000,31795350000,31973890000,36937860000,34304480000,35497290000,30077150000,34763280000,34315100000,32429660000,35808590000,29856650000,34416010000,35433440000,30248740000,32224090000,32101260000,31556210000,31579690000
UOPS_ISSUED_FLAGS_MERGE,PMC3,7440263,7433011,7429712,7410272,7460604,7413288,7277734,7296961,7427733,7409648,7412143,3527016,3521977,7411390,7415426,7487651,7421272,7419790,7412598,7421505,7427975,7464832,7480959,7417282,7416114,7408385,7411025,7418991,7407934,7413546,7412313,7413822
TABLE,Region coo,Group 1 Raw STAT,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,586499474000,9424822000,20677040000,1.832811e+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2063541190000,31645430000,67728600000,6.448566e+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,1927987890000,29862210000,63050010000,6.024962e+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_ISSUED_ANY STAT,PMC0,1046694530000,16867390000,37123960000,3.270920e+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_EXECUTED_THREAD STAT,PMC1,804541020000,15074610000,32546650000,25141906875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_RETIRED_ALL STAT,PMC2,1036588600000,16757310000,36937860000,32393393750,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_ISSUED_FLAGS_MERGE STAT,PMC3,229543172,3521977,7487651,7.173224e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region coo,Group 1 Metric,UOPS,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
Runtime (RDTSC) [s],26.3925,26.3895,26.4713,26.2455,26.2654,26.2662,26.2289,26.2886,25.8210,26.0641,25.9951,26.0315,25.8907,25.9111,25.8767,26.0124,26.3480,26.3364,26.3068,26.2985,26.2406,26.3040,26.2325,26.2689,25.7720,25.9988,25.8705,26.0302,26.0644,25.9299,25.9272,25.9304,
Runtime unhalted [s],28.2408,28.2869,28.2797,28.1506,28.0701,28.1263,27.6713,27.7321,27.4678,27.6164,27.4437,13.2761,13.2167,27.5475,27.4682,27.5327,28.2337,28.2532,28.1859,28.2313,28.1267,28.1977,28.1263,28.1708,27.4388,27.6603,27.4625,27.5804,27.4488,27.5830,27.4972,27.5162,
Clock [MHz],2571.9614,2574.8177,2571.3641,2576.2805,2573.5093,2570.1635,2574.3354,2573.5964,2554.0219,2556.1565,2549.8868,2539.1570,2537.3230,2555.2929,2550.8809,2548.0591,2572.3478,2574.8681,2571.7841,2576.6271,2573.8959,2570.2349,2574.2307,2574.1068,2554.5603,2556.6825,2550.8291,2549.6434,2547.4857,2555.6765,2550.7077,2547.9526,
