STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.39426764 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region coo,Group 1 Raw,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
RDTSC Runtime [s],24.864540,24.875730,24.833010,24.758570,24.787080,24.844600,24.803410,24.721510,24.371310,24.495430,24.503580,24.524770,24.542390,24.505760,24.516500,24.504060,24.786410,24.820200,24.742730,24.665870,24.703560,24.767410,24.745800,24.647820,24.402450,24.488310,24.517130,24.521420,24.547110,24.546450,24.573790,24.531800,
call count,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31
INSTR_RETIRED_ANY,FIXC0,6762275000,6669600000,6432143000,5848636000,6224985000,6458146000,6216144000,5584549000,10464180000,10885670000,10920540000,10953080000,10971860000,11023460000,10810570000,10895480000,6217857000,6363962000,6177907000,5595338000,5914961000,6164324000,6010517000,5406249000,10566930000,10841730000,10961480000,10991450000,10990890000,11121630000,10869380000,10859690000
CPU_CLK_UNHALTED_CORE,FIXC1,64030810000,64187130000,64078780000,63919960000,63943380000,64103380000,64028190000,63779170000,63042110000,63202770000,63211520000,63341460000,63393220000,63360660000,63442720000,63431360000,63900730000,64036470000,63839180000,63698440000,63780800000,63967440000,63907250000,63601500000,63132090000,63201140000,63274870000,63379330000,63452840000,63475320000,63581550000,63476860000
CPU_CLK_UNHALTED_REF,FIXC2,59393450000,59518180000,59413640000,59196890000,59318560000,59397540000,59348170000,59108370000,58506310000,58722260000,58704150000,58773060000,58783260000,58762030000,58751970000,58736860000,59271700000,59377730000,59190760000,58989180000,59164200000,59271420000,59235490000,58940560000,58592690000,58720960000,58762000000,58806340000,58838240000,58869930000,58880670000,58779500000
UOPS_ISSUED_ANY,PMC0,13336700000,13144280000,12666740000,11506450000,12258260000,12722160000,12233350000,10974940000,20731870000,21579580000,21646420000,21711380000,21744130000,21847950000,21425200000,21594890000,12236370000,12502290000,12151750000,10986570000,11626370000,12125080000,11812950000,10572580000,20927100000,21478370000,21711790000,21776040000,21773700000,22032410000,21525240000,21507260000
UOPS_EXECUTED_THREAD,PMC1,8932519000,8813034000,8510834000,7767949000,8240513000,8523299000,8227785000,7411475000,13652630000,14147310000,14204790000,14238840000,14246990000,14326080000,14043180000,14134670000,7946171000,8126206000,7895755000,7136595000,7555546000,7891323000,7675959000,6901915000,13565600000,13971060000,14110530000,14153730000,14167470000,14320960000,14006750000,14013600000
UOPS_RETIRED_ALL,PMC2,13317020000,13126480000,12643130000,11485190000,12236540000,12701380000,12212940000,10954400000,20711600000,21556290000,21623630000,21688990000,21722100000,21825830000,21402240000,21571180000,12215330000,12487840000,12132050000,10967660000,11606840000,12104460000,11793220000,10553390000,20906060000,21454980000,21687000000,21753520000,21751160000,22009760000,21500660000,21483560000
UOPS_ISSUED_FLAGS_MERGE,PMC3,7341494,7408232,7543850,7525476,7553193,7562851,7636387,7637419,7710500,7751555,7791470,7800817,7866600,7912778,7932070,8004287,7993872,8093456,8093066,8157648,8179203,8205702,8261322,8343708,8319571,8420790,8445437,8455784,8515440,8560386,8648002,8657492
TABLE,Region coo,Group 1 Raw STAT,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,272175613000,5406249000,11121630000,8.505488e+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2036202430000,63042110000,64187130000,6.363133e+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
