STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.394288867 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region coo,Group 1 Raw,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
RDTSC Runtime [s],25.060550,24.999880,25.006830,24.974940,25.025160,25.007770,25.007270,24.888000,24.643570,24.764600,24.728560,24.728890,24.780090,24.763690,24.728750,24.712490,24.951790,24.944050,24.979520,24.935460,24.979360,24.967350,24.967430,24.863630,24.658280,24.770590,24.755250,24.735650,24.800890,24.744450,24.754310,24.742990,
call count,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31
INSTR_RETIRED_ANY,FIXC0,18185730000,17827450000,18002960000,17908700000,17971760000,17933680000,17920540000,17885400000,18016830000,18141790000,18090720000,18133110000,18166760000,6811501000,6837075000,18035450000,13968890000,13783660000,17929940000,17878220000,17871930000,17881760000,17878110000,17818800000,18014630000,18097990000,18093220000,18137190000,18170930000,18137290000,18153350000,17971010000
CPU_CLK_UNHALTED_CORE,FIXC1,64621000000,64526430000,64727820000,64491900000,64641870000,64631090000,64542170000,64375800000,63792480000,63973790000,63865890000,63948970000,64116560000,24062690000,24054750000,63972770000,49910650000,49813480000,64605620000,64403510000,64538180000,64533810000,64435290000,64286530000,63831510000,63988800000,63919400000,63988770000,64146580000,64051280000,64068110000,64022740000
CPU_CLK_UNHALTED_REF,FIXC2,59903110000,59812290000,59914690000,59749740000,59882290000,59854350000,59849580000,59656190000,59139500000,59356320000,59245950000,59280410000,59400010000,22308220000,22289360000,59250680000,46259320000,46196570000,59801740000,59665820000,59785030000,59763930000,59750320000,59577440000,59176750000,59370670000,59295860000,59316670000,59428850000,59337280000,59334560000,59298320000
UOPS_ISSUED_ANY,PMC0,32807710000,32114460000,32458550000,32273580000,32397910000,32322990000,32294170000,32225640000,32428610000,32665220000,32574430000,32652210000,32725170000,12267300000,12313520000,32470590000,25176640000,24815520000,32306620000,32199890000,32191440000,32209320000,32197240000,32085300000,32415390000,32577680000,32567880000,32651950000,32720580000,32652620000,32681020000,32335590000
UOPS_EXECUTED_THREAD,PMC1,29175780000,28751070000,28956250000,28837770000,28901670000,28861060000,28852470000,28798900000,28945250000,29083020000,29036910000,29081980000,29112240000,10920960000,10951600000,28937470000,16086380000,15836410000,20632550000,20561750000,20573610000,20576950000,20560910000,20497740000,20696050000,20818180000,20793600000,20856660000,20916610000,20867590000,20874030000,20679070000
UOPS_RETIRED_ALL,PMC2,32397600000,31680680000,32031710000,31842710000,31967950000,31891080000,31863910000,31793050000,32055620000,32296570000,32200390000,32281070000,32350140000,12127990000,12178830000,32086230000,24853360000,24483290000,31874300000,31769880000,31756720000,31775560000,31767330000,31648190000,32038590000,32202940000,32192530000,32279510000,32346320000,32278380000,32309430000,31944420000
UOPS_ISSUED_FLAGS_MERGE,PMC3,7336500,7392583,7441703,7471446,7521283,7560580,7600628,7623063,7677816,7740594,7762092,7789574,7881320,2957596,2971666,8000621,6202541,6227646,8087879,8116097,8166620,8198344,8248309,8273556,8338890,8370864,8426479,8449803,8525712,8534118,8573029,8653452
TABLE,Region coo,Group 1 Raw STAT,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
