STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.39435332 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region coo,Group 1 Raw,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
RDTSC Runtime [s],1.165689,1.073905,1.099570,1.057990,1.050070,1.020743,1.119243,0.954831,1.226938,1.336172,1.396805,1.391767,1.427507,1.401991,1.445403,1.326172,1.060145,1.027119,1.063504,1.032583,1.023051,0.967257,1.073309,0.915234,1.213138,1.343000,1.379586,1.348893,1.403129,1.398681,1.409099,1.280955,
call count,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31
INSTR_RETIRED_ANY,FIXC0,709432800,627557600,653726500,595103300,583591000,528088700,592499800,497729900,1095925000,1199686000,1274654000,1280043000,1311875000,1295138000,1323807000,1191516000,621869100,594027800,622435800,582654500,565643900,501270600,566863000,466983800,1096613000,1214370000,1264317000,1245415000,1308573000,1300524000,1307645000,1180780000
CPU_CLK_UNHALTED_CORE,FIXC1,3259796000,3126800000,3164451000,3065807000,3018273000,2950195000,3175382000,2856365000,3620797000,3794324000,3971680000,3985171000,4050363000,4017306000,4095232000,3778038000,3066078000,3022848000,3068309000,3009455000,2964365000,2847817000,3094786000,2726591000,3597342000,3804146000,3929283000,3882487000,4028562000,4012818000,4028545000,3723802000
CPU_CLK_UNHALTED_REF,FIXC2,3025884000,2902252000,2937960000,2846458000,2801584000,2739015000,2945419000,2650374000,3369810000,3529967000,3695584000,3702631000,3764208000,3731643000,3799866000,3504000000,2844895000,2805759000,2849495000,2794530000,2750664000,2643747000,2869185000,2531085000,3347500000,3539284000,3656557000,3607042000,3740836000,3727976000,3737561000,3452983000
UOPS_ISSUED_ANY,PMC0,1370658000,1209910000,1260986000,1144716000,1116443000,1010920000,1130766000,948935400,2116062000,2321522000,2469209000,2479145000,2541286000,2507940000,2564158000,2299175000,1186894000,1131560000,1186685000,1106960000,1072636000,944583900,1067272000,874575500,2104830000,2335069000,2435802000,2397274000,2521808000,2505661000,2518776000,2265368000
UOPS_EXECUTED_THREAD,PMC1,991184000,886038700,919753600,844071600,826659500,758463100,837273800,720491300,1470478000,1603279000,1699079000,1708239000,1746232000,1724517000,1764159000,1592723000,798359400,762026400,796484500,745361900,724851900,643194200,722487400,598578000,1385897000,1532858000,1597233000,1572469000,1651631000,1641552000,1649207000,1489577000
UOPS_RETIRED_ALL,PMC2,1342954000,1179252000,1230586000,1112963000,1084651000,977633400,1106197000,915459500,2109047000,2314230000,2463214000,2473146000,2536082000,2501946000,2558351000,2291479000,1156294000,1099902000,1155778000,1075632000,1040843000,911653700,1042817000,841653300,2098041000,2328653000,2430212000,2391721000,2517031000,2500215000,2513759000,2258637000
UOPS_ISSUED_FLAGS_MERGE,PMC3,7350306,7405563,7441912,7491157,7532660,7533882,7604591,7626273,7722347,7741640,7784570,7828446,7859221,7924459,7947625,8018639,7991647,8047065,8076046,8118042,8155004,8172027,8233416,8258591,8356341,8389431,8425930,8460447,8506464,8563658,8591923,8662482
TABLE,Region coo,Group 1 Raw STAT,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,29200359100,466983800,1323807000,9.125112e+08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,110737214000,2726591000,4095232000,3.460538e+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,102845754000,2531085000,3799866000,3.213930e+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_ISSUED_ANY STAT,PMC0,56147585800,874575500,2564158000,1.754612e+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_EXECUTED_THREAD STAT,PMC1,38404409300,598578000,1764159000,1.200138e+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_RETIRED_ALL STAT,PMC2,55560032900,841653300,2558351000,1.736251e+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_ISSUED_FLAGS_MERGE STAT,PMC3,255821805,7350306,8662482,7.994431e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region coo,Group 1 Metric,UOPS,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
Runtime (RDTSC) [s],1.1657,1.0739,1.0996,1.0580,1.0501,1.0207,1.1192,0.9548,1.2269,1.3362,1.3968,1.3918,1.4275,1.4020,1.4454,1.3262,1.0601,1.0271,1.0635,1.0326,1.0231,0.9673,1.0733,0.9152,1.2131,1.3430,1.3796,1.3489,1.4031,1.3987,1.4091,1.2810,
