STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.394305359 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region csr,Group 1 Raw,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
RDTSC Runtime [s],1.110466,1.085024,1.102692,1.038824,1.123830,1.099394,1.069297,1.015189,0.752903,0.911995,0.874009,0.887191,0.883879,0.912935,0.897300,0.841178,1.077968,1.043544,1.071570,0.967651,1.083460,1.054756,1.046736,0.965960,0.776309,0.932556,0.871519,0.901146,0.905903,0.912651,0.905097,0.885551,
call count,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31
INSTR_RETIRED_ANY,FIXC0,1124058000,1338914000,1237938000,1172118000,1262586000,1224660000,1196483000,1145630000,895918800,1053375000,1098640000,1032667000,1036200000,1047608000,1044787000,1012691000,1250937000,1204124000,1229394000,1141318000,1242404000,689237100,1207009000,1131911000,973464800,1115654000,1069851000,1100864000,1094637000,1098201000,1143827000,1180717000
CPU_CLK_UNHALTED_CORE,FIXC1,3105351000,3069078000,3155318000,2980073000,3209196000,3142462000,3098162000,2977151000,2382943000,2714837000,2642367000,2665819000,2653260000,2680668000,2667737000,2570578000,3093302000,3008168000,3053355000,2810309000,3096465000,1715214000,3024313000,2849245000,2421393000,2756000000,2621849000,2684478000,2712617000,2690643000,2687043000,2663587000
CPU_CLK_UNHALTED_REF,FIXC2,2892059000,2857019000,2934539000,2772455000,2989426000,2929352000,2885878000,2777253000,2227471000,2535403000,2458440000,2486126000,2473070000,2502516000,2486985000,2393583000,2878516000,2803178000,2839784000,2613596000,2885797000,1605087000,2818700000,2657572000,2264402000,2574645000,2443315000,2505420000,2530205000,2511943000,2504587000,2481345000
UOPS_ISSUED_ANY,PMC0,2156683000,2299604000,2256293000,2122904000,2300099000,2232709000,2191335000,2088279000,1600146000,1908433000,1917051000,1868841000,1868544000,1888655000,1879053000,1801846000,2244065000,2152889000,2200267000,2020582000,2229670000,1232635000,2166295000,2022507000,1681451000,1975775000,1883152000,1932937000,1941369000,1930977000,1971687000,1979677000
UOPS_EXECUTED_THREAD,PMC1,1477159000,1719983000,1612771000,1534006000,1642242000,1596706000,1555305000,1494168000,1177179000,1367167000,1413166000,1342506000,1343371000,1362476000,1358751000,1324291000,1564566000,1494906000,1528289000,1410180000,1544711000,856797500,1504452000,1406361000,1189217000,1385499000,1323817000,1360845000,1357863000,1356349000,1408126000,1430166000
UOPS_RETIRED_ALL,PMC2,2163651000,2345987000,2280448000,2147413000,2322943000,2253668000,2212696000,2109979000,1621546000,1929327000,1952544000,1889430000,1890018000,1910602000,1901122000,1825094000,2267747000,2180333000,2228648000,2048848000,2257461000,1248615000,2192947000,2048350000,1710996000,2002197000,1910134000,1962024000,1967701000,1959421000,2004895000,2023905000
