STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.394272611 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region csr,Group 1 Raw,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
RDTSC Runtime [s],2.768121,2.714738,2.684558,2.644927,2.708844,2.645010,2.667907,2.630503,2.326464,2.450529,2.397193,2.387596,2.478331,2.447595,2.415464,2.419450,2.669636,2.658526,2.619618,2.598776,2.670363,2.612934,2.627765,2.559235,2.325321,2.463629,2.404171,2.406315,2.465838,2.462797,2.430944,2.437271,
call count,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31
INSTR_RETIRED_ANY,FIXC0,5018846000,4918437000,4879318000,4856013000,2667267000,2642953000,4887548000,4780349000,4386105000,4524051000,4488305000,4473855000,4562243000,4536804000,4505955000,4492377000,4859060000,4838136000,4777058000,4786460000,4858366000,4819686000,4821811000,4683605000,4389655000,4549885000,4508531000,4512355000,4556055000,4559300000,4528610000,4536334000
CPU_CLK_UNHALTED_CORE,FIXC1,7375813000,7274912000,7214588000,7200336000,3959418000,3930981000,7236831000,7107399000,6453495000,6666501000,6585358000,6554690000,6746096000,6716705000,6641210000,6642000000,7174049000,7159934000,7046976000,7079771000,7183160000,7138019000,7126915000,6934051000,6449654000,6697630000,6610734000,6628601000,6720318000,6752501000,6680566000,6699648000
CPU_CLK_UNHALTED_REF,FIXC2,6871654000,6774605000,6713336000,6697853000,3692788000,3656744000,6740957000,6607750000,6024923000,6226428000,6144101000,6116256000,6284455000,6243814000,6175901000,6166222000,6682110000,6666535000,6556305000,6586582000,6692566000,6638675000,6637976000,6442992000,6021557000,6256314000,6165905000,6184503000,6260162000,6277021000,6213056000,6218969000
UOPS_ISSUED_ANY,PMC0,6067655000,5863026000,5787169000,5740875000,3174058000,3125191000,5802566000,5586663000,4796259000,5069560000,4999645000,4968696000,5145958000,5093015000,5027829000,5004125000,5737263000,5694437000,5572890000,5589228000,5732163000,5653980000,5658605000,5383180000,4791529000,5109693000,5026520000,5032893000,5119212000,5125323000,5063956000,5072111000
UOPS_EXECUTED_THREAD,PMC1,6335322000,6201695000,6159699000,6123729000,3361425000,3330757000,6162297000,6035480000,5518292000,5689756000,5644011000,5620644000,5742261000,5704080000,5664573000,5649001000,5273814000,5245734000,5167186000,5179764000,5269663000,5218403000,5221558000,5051214000,4687284000,4876456000,4827973000,4831374000,4886235000,4889356000,4851541000,4858887000
UOPS_RETIRED_ALL,PMC2,6584438000,6378286000,6300260000,6254316000,3453480000,3404398000,6315977000,6098574000,5311833000,5585263000,5514226000,5484463000,5660960000,5608444000,5543005000,5518128000,6249877000,6207382000,6084656000,6102167000,6245286000,6167058000,6171224000,5894131000,5307014000,5625088000,5540945000,5548460000,5634378000,5640628000,5578570000,5587601000
