STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.394350239 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region csr,Group 1 Raw,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
RDTSC Runtime [s],0.661354,0.621980,0.603209,0.616113,0.556883,0.590956,0.611275,0.560508,0.749765,0.858569,0.892685,0.882353,0.952828,0.889055,0.883006,0.841647,0.589584,0.580474,0.567226,0.560964,0.500071,0.530897,0.588797,0.518559,0.715539,0.857269,0.868244,0.871026,0.952697,0.904350,0.885385,0.830074,
call count,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31
INSTR_RETIRED_ANY,FIXC0,674794100,346134600,634054800,645235200,589525100,619191400,648292700,600387300,787158400,919072600,929293400,907983800,981348400,926387900,920920400,888441100,637775800,627140000,618848900,613323400,578996300,587834400,639814400,305304300,413789900,900105600,916218200,906697800,1004516000,939374300,958463500,904201200
CPU_CLK_UNHALTED_CORE,FIXC1,1942441000,999666900,1830608000,1872114000,1714681000,1816417000,1877270000,1754371000,2361622000,2580694000,2669155000,2611022000,2805289000,2663012000,2650878000,2568630000,1833579000,1800258000,1770805000,1758019000,1667984000,1706432000,1839302000,885490100,1229910000,2567961000,2610831000,2583343000,2807557000,2673990000,2651491000,2551136000
CPU_CLK_UNHALTED_REF,FIXC2,1809828000,935555900,1709823000,1746344000,1596616000,1695177000,1750999000,1637923000,2210681000,2408489000,2492498000,2437732000,2616765000,2483148000,2468670000,2388806000,1707073000,1677543000,1651344000,1637556000,1555903000,1592457000,1714459000,829034300,1153306000,2398490000,2438118000,2411991000,2618075000,2493882000,2467951000,2372367000
UOPS_ISSUED_ANY,PMC0,1262365000,640588800,1173590000,1194119000,1081973000,1142771000,1200394000,1102007000,1478557000,1719280000,1760562000,1716817000,1859906000,1752616000,1740557000,1675647000,1173314000,1149606000,1132699000,1118210000,1051883000,1068776000,1171711000,552154300,769199900,1691197000,1721944000,1702016000,1879805000,1765471000,1775619000,1679209000
UOPS_EXECUTED_THREAD,PMC1,906127700,464829300,851606100,866839500,791125200,831218300,868940500,805311900,1050641000,1215730000,1231854000,1202459000,1297391000,1225560000,1219400000,1177939000,795553100,780422700,768452400,762528400,718635700,730660600,795183800,378276800,515693500,1125410000,1145230000,1133308000,1257535000,1174054000,1195643000,1125587000
UOPS_RETIRED_ALL,PMC2,1268694000,644462900,1180274000,1200611000,1088323000,1149155000,1204535000,1108914000,1485604000,1724622000,1766971000,1723362000,1866788000,1758988000,1746779000,1681281000,1179565000,1156200000,1139819000,1124557000,1058693000,1075776000,1178574000,555836700,773267100,1697503000,1728857000,1709064000,1885801000,1772369000,1783957000,1687764000
