STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.394343975 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Group 1 Raw,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31
INSTR_RETIRED_ANY,FIXC0,3381105285,5646405251,7030318120,8083003814,9025229978,9756584720,10747210869,11136502621,11801980487,12319492868,12846127838,13376426983,13866898708,14313208767,14780929206,15203197079,15713184462,16081580232,16541920346,16918552639,17221980306,17623172112,17963352470,18295417131,18533284093,18858107266,19164638591,19475482438,19789184029,20076848031,20392454072,20658655227
CPU_CLK_UNHALTED_CORE,FIXC1,14292509217,23824849949,29632825125,34183404246,38057698776,41453963172,44661566242,47325742849,49987298250,52396626804,54650886725,56878432582,58992577805,60904215546,62895455285,64677207754,50015779463,54108661097,57138481353,59704394452,61951014052,64134715972,66131906812,67993064989,69747823894,71463751138,73059259376,74690595291,76267246125,77712398539,79265167442,80615980380
CPU_CLK_UNHALTED_REF,FIXC2,13353338520,22177443408,27555613248,31721435760,35315003568,38470795320,41446929912,43887168936,46345087968,48570545088,50651692056,52611903936,54641116656,56423076264,58261069968,59783727144,46358182728,50126248416,52875740088,55094243352,56952855096,58789750488,60368408112,61774822296,64584856272,66170289840,67588548792,68946744648,70370895048,71583018024,73008752136,74133326232
UOPS_ISSUED_ANY,PMC0,22113839455,36910438585,45928851648,52980695913,59004442517,64231585313,69261048724,73327745304,77434605682,81180708405,84678827958,88119812631,91400053903,94362300802,97451057101,100208426546,103112777779,105710478648,108378344451,110856102615,113183052086,115680980016,117922926503,120137559842,122234034760,124379255583,126399501556,128450988600,130521830523,132419479228,134502170326,136268302078
UOPS_EXECUTED_THREAD,PMC1,22872720848,38186386557,47528339798,54827562074,61057996108,66475250807,71717043796,75889411381,80155068431,84016826674,87636789295,91200223286,94595582910,97658443845,100856087620,103712726690,94703656753,95753507754,97406301755,99050461884,100659204154,102489549129,104137053342,105815123828,107369671583,109031448210,110603634666,112194226459,113830491543,115330246108,116994406263,118382156631
UOPS_RETIRED_ALL,PMC2,22063691652,36850722592,45883721654,52932290020,58947801047,64176312372,69252106533,73270727143,77387383389,81124934855,84623003768,88064725283,91343988870,94305563519,97394176920,100151711903,103020534764,105619161410,108292702083,110769453464,113100094824,115607020057,117838878307,120059046495,122162090199,124306068014,126329027890,128380717207,130451438604,132350207616,134433383427,136199797565
UOPS_ISSUED_FLAGS_MERGE,PMC3,44866,60508,26451,368310,187498,39024,167134,41616,136434,30633,464,56312,15316,169,19,18528,318719,294900,625748,306206,270156,265523,258834,605833,18,68,12,18,15,21,21,15
TABLE,Group 1 Raw STAT,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,466622436039,3381105285,20658655227,1.458195e+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
