STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.394265535 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Group 1 Raw,NUMA,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31
INSTR_RETIRED_ANY,FIXC0,42007117291,15426512,5284899,5307338,5391494,5822248,5517199,5211742,3676344,3556946,3513464,3599393,3498293,3491461,3496802,3518082,23111596,29489800,11864794,4983320,5001177,4970290,4996518,4930633,3385824,4084645,6653698,3340132,3284345,3195787,3151876,2704955
CPU_CLK_UNHALTED_CORE,FIXC1,15817367416,26603273,17262287,17488347,17713220,18147462,21306172,17000014,22612270,22518381,22633250,22518415,22484879,22663532,22427217,23206852,35267743,42596886,22808161,16537897,16631934,16561707,19995261,16312384,21929122,23512281,26298594,21942959,21853191,21930413,21757544,18179622
CPU_CLK_UNHALTED_REF,FIXC2,12130034928,35659344,33673608,34120176,34216392,35339472,24355680,32968368,43038072,42997920,43091472,43012752,42937896,43408656,42845184,42207480,37239552,56667960,43509360,32327304,32375568,32385744,22535208,31689432,41862048,44795736,50232840,41947464,41770920,41948688,41607048,33404184
OFFCORE_RESPONSE_0_LOCAL_DRAM,PMC0,734340,33445,35927,35082,34560,38901,31835,25926,16307,16570,17295,16118,16044,16131,15983,559,29942,49409,44840,34587,35272,35100,28842,25416,16420,17612,18369,16553,16565,16422,16363,178
OFFCORE_RESPONSE_1_REMOTE_DRAM,PMC1,262973,1836,252,340,54,2839,2481,8184,32212,31959,32182,31887,32436,32107,31339,42285,3643,8240,2360,0,0,903,2,8139,31159,31681,33948,30923,31728,31553,31783,29426
TABLE,Group 1 Raw STAT,NUMA,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,42202578898,2704955,42007117291,1.318831e+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,16498068686,16312384,15817367416,5.155646e+08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,13330206456,22535208,12130034928,4.165690e+08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFFCORE_RESPONSE_0_LOCAL_DRAM STAT,PMC0,1486913,178,734340,46466.0312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFFCORE_RESPONSE_1_REMOTE_DRAM STAT,PMC1,820854,0,262973,25651.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Group 1 Metric,NUMA,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
