STRUCT,Info,3,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,
CPU clock:,2.394350574 GHz,,,,,,,,
TABLE,Group 1 Raw,NUMA,5,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7
INSTR_RETIRED_ANY,FIXC0,42007389452,30325607,5132412,5069068,5124796,5019110,5208648,4513260
CPU_CLK_UNHALTED_CORE,FIXC1,15746328850,42123750,14251624,13938212,14159453,14038213,15703225,12582804
CPU_CLK_UNHALTED_REF,FIXC2,12304620936,60800568,27770784,27163176,27381192,26982168,26936448,24260496
OFFCORE_RESPONSE_0_LOCAL_DRAM,PMC0,1644310,142445,148810,152834,147787,150897,138030,139188
OFFCORE_RESPONSE_1_REMOTE_DRAM,PMC1,608,8646,679,0,1,0,558,0
TABLE,Group 1 Raw STAT,NUMA,5,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,
INSTR_RETIRED_ANY STAT,FIXC0,42067782353,4513260,42007389452,5.258473e+09,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,15873126131,12582804,15746328850,1.984141e+09,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,12525915768,24260496,12304620936,1565739471,,,,
OFFCORE_RESPONSE_0_LOCAL_DRAM STAT,PMC0,2664301,138030,1644310,333037.6250,,,,
OFFCORE_RESPONSE_1_REMOTE_DRAM STAT,PMC1,10492,0,8646,1311.5000,,,,
TABLE,Group 1 Metric,NUMA,10,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,
Runtime (RDTSC) [s],5.7894,5.7894,5.7894,5.7894,5.7894,5.7894,5.7894,5.7894,
Runtime unhalted [s],6.5765,0.0176,0.0060,0.0058,0.0059,0.0059,0.0066,0.0053,
Clock [MHz],3064.0709,1658.8500,1228.7512,1228.6106,1238.1745,1245.7266,1395.8420,1241.8396,
CPI,0.3748,1.3890,2.7768,2.7497,2.7629,2.7970,3.0148,2.7880,
Local DRAM data volume [GByte],0.1052,0.0091,0.0095,0.0098,0.0095,0.0097,0.0088,0.0089,
Local DRAM bandwidth [MByte/s],18.1774,1.5747,1.6451,1.6895,1.6337,1.6681,1.5259,1.5387,
Remote DRAM data volume [GByte],3.891200e-05,0.0006,4.345600e-05,0,6.400000e-08,0,3.571200e-05,0,
Remote DRAM bandwidth [MByte/s],0.0067,0.0956,0.0075,0,1.105475e-05,0,0.0062,0,
Memory data volume [GByte],0.1053,0.0097,0.0096,0.0098,0.0095,0.0097,0.0089,0.0089,
Memory bandwidth [MByte/s],18.1842,1.6703,1.6526,1.6895,1.6338,1.6681,1.5321,1.5387,
TABLE,Group 1 Metric STAT,NUMA,10,,,,,,
Metric,Sum,Min,Max,Avg,,,,,
Runtime (RDTSC) [s] STAT,46.3152,5.7894,5.7894,5.7894,,,,,
Runtime unhalted [s] STAT,6.6296,0.0053,6.5765,0.8287,,,,,
Clock [MHz] STAT,12301.8654,1228.6106,3064.0709,1537.7332,,,,,
CPI STAT,18.6530,0.3748,3.0148,2.3316,,,,,
Local DRAM data volume [GByte] STAT,0.1705,0.0088,0.1052,0.0213,,,,,
Local DRAM bandwidth [MByte/s] STAT,29.4531,1.5259,18.1774,3.6816,,,,,
Remote DRAM data volume [GByte] STAT,0.0007,0,0.0006,0.0001,,,,,
Remote DRAM bandwidth [MByte/s] STAT,0.1160,0,0.0956,0.0145,,,,,
Memory data volume [GByte] STAT,0.1714,0.0089,0.1053,0.0214,,,,,
Memory bandwidth [MByte/s] STAT,29.5693,1.5321,18.1842,3.6962,,,,,
