STRUCT,Info,3,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,,,,,,,,,
CPU clock:,2.394346915 GHz,,,,,,,,,,,,,,,,
TABLE,Group 1 Raw,NUMA,5,,,,,,,,,,,,,,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23
INSTR_RETIRED_ANY,FIXC0,42006174779,4588462,4135762,3992623,3947869,3944365,4390464,4169877,3920760,28694605,3996969,3863328,3798079,3813058,4210887,3309206
CPU_CLK_UNHALTED_CORE,FIXC1,15754065063,21181127,17275731,15281370,15459395,15324570,21154161,15566711,14321263,42672022,16944149,15270980,15071173,15149029,20706380,12388204
CPU_CLK_UNHALTED_REF,FIXC2,12501253440,26340816,28054512,29217504,29787312,29530560,25167528,29978472,27632664,61833240,27437232,29348496,29013888,29171664,24489024,23819112
OFFCORE_RESPONSE_0_LOCAL_DRAM,PMC0,1515429,63150,69217,76768,75965,73583,62069,76668,68557,90950,68464,74962,73006,75874,61373,67101
OFFCORE_RESPONSE_1_REMOTE_DRAM,PMC1,205,41,26,45,20,0,0,613,0,284,0,261,0,238,0,0
TABLE,Group 1 Raw STAT,NUMA,5,,,,,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,42090951093,3309206,42006174779,2.630684e+09,,,,,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,16027831328,12388204,15754065063,1001739458,,,,,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,12952075464,23819112,12501253440,8.095047e+08,,,,,,,,,,,,
OFFCORE_RESPONSE_0_LOCAL_DRAM STAT,PMC0,2593136,61373,1515429,162071,,,,,,,,,,,,
OFFCORE_RESPONSE_1_REMOTE_DRAM STAT,PMC1,1733,0,613,108.3125,,,,,,,,,,,,
TABLE,Group 1 Metric,NUMA,10,,,,,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,
Runtime (RDTSC) [s],5.9177,5.9177,5.9177,5.9177,5.9177,5.9177,5.9177,5.9177,5.9177,5.9177,5.9177,5.9177,5.9177,5.9177,5.9177,5.9177,
Runtime unhalted [s],6.5797,0.0088,0.0072,0.0064,0.0065,0.0064,0.0088,0.0065,0.0060,0.0178,0.0071,0.0064,0.0063,0.0063,0.0086,0.0052,
Clock [MHz],3017.3532,1925.3377,1474.4186,1252.2939,1242.6484,1242.5209,2012.5298,1243.2957,1240.9253,1652.3738,1478.6539,1245.8568,1243.7360,1243.3994,2024.5093,1245.2882,
CPI,0.3750,4.6162,4.1772,3.8274,3.9159,3.8852,4.8182,3.7331,3.6527,1.4871,4.2392,3.9528,3.9681,3.9729,4.9173,3.7436,
Local DRAM data volume [GByte],0.0970,0.0040,0.0044,0.0049,0.0049,0.0047,0.0040,0.0049,0.0044,0.0058,0.0044,0.0048,0.0047,0.0049,0.0039,0.0043,
Local DRAM bandwidth [MByte/s],16.3892,0.6830,0.7486,0.8302,0.8216,0.7958,0.6713,0.8292,0.7414,0.9836,0.7404,0.8107,0.7896,0.8206,0.6637,0.7257,
Remote DRAM data volume [GByte],1.312000e-05,2.624000e-06,1.664000e-06,2.880000e-06,1.280000e-06,0,0,3.923200e-05,0,1.817600e-05,0,1.670400e-05,0,1.523200e-05,0,0,
Remote DRAM bandwidth [MByte/s],0.0022,0.0004,0.0003,0.0005,0.0002,0,0,0.0066,0,0.0031,0,0.0028,0,0.0026,0,0,
Memory data volume [GByte],0.0970,0.0040,0.0044,0.0049,0.0049,0.0047,0.0040,0.0049,0.0044,0.0058,0.0044,0.0048,0.0047,0.0049,0.0039,0.0043,
Memory bandwidth [MByte/s],16.3915,0.6834,0.7489,0.8307,0.8218,0.7958,0.6713,0.8358,0.7414,0.9867,0.7404,0.8135,0.7896,0.8231,0.6637,0.7257,
TABLE,Group 1 Metric STAT,NUMA,10,,,,,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,,,,,
Runtime (RDTSC) [s] STAT,94.6832,5.9177,5.9177,5.9177,,,,,,,,,,,,,
Runtime unhalted [s] STAT,6.6940,0.0052,6.5797,0.4184,,,,,,,,,,,,,
Clock [MHz] STAT,24785.1409,1240.9253,3017.3532,1549.0713,,,,,,,,,,,,,
CPI STAT,59.2819,0.3750,4.9173,3.7051,,,,,,,,,,,,,
Local DRAM data volume [GByte] STAT,0.1660,0.0039,0.0970,0.0104,,,,,,,,,,,,,
Local DRAM bandwidth [MByte/s] STAT,28.0446,0.6637,16.3892,1.7528,,,,,,,,,,,,,
Remote DRAM data volume [GByte] STAT,0.0001,0,3.923200e-05,6.932000e-06,,,,,,,,,,,,,
Remote DRAM bandwidth [MByte/s] STAT,0.0187,0,0.0066,0.0012,,,,,,,,,,,,,
Memory data volume [GByte] STAT,0.1660,0.0039,0.0970,0.0104,,,,,,,,,,,,,
Memory bandwidth [MByte/s] STAT,28.0633,0.6637,16.3915,1.7540,,,,,,,,,,,,,
