STRUCT,Info,3,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,
CPU clock:,2.394312727 GHz,,,,
TABLE,Group 1 Raw,NUMA,5,,
Event,Counter,Core 0,Core 1,,
INSTR_RETIRED_ANY,FIXC0,42013936490,34002976,,
CPU_CLK_UNHALTED_CORE,FIXC1,15756411378,46396984,,
CPU_CLK_UNHALTED_REF,FIXC2,12294314016,52342368,,
OFFCORE_RESPONSE_0_LOCAL_DRAM,PMC0,2055238,415460,,
OFFCORE_RESPONSE_1_REMOTE_DRAM,PMC1,196,508,,
TABLE,Group 1 Raw STAT,NUMA,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,42047939466,34002976,42013936490,21023969733
CPU_CLK_UNHALTED_CORE STAT,FIXC1,15802808362,46396984,15756411378,7901404181
CPU_CLK_UNHALTED_REF STAT,FIXC2,12346656384,52342368,12294314016,6173328192
OFFCORE_RESPONSE_0_LOCAL_DRAM STAT,PMC0,2470698,415460,2055238,1235349
OFFCORE_RESPONSE_1_REMOTE_DRAM STAT,PMC1,704,196,508,352
TABLE,Group 1 Metric,NUMA,10,,
Metric,Core 0,Core 1,,,
Runtime (RDTSC) [s],5.8398,5.8398,,,
Runtime unhalted [s],6.5808,0.0194,,,
Clock [MHz],3068.5548,2122.3512,,,
CPI,0.3750,1.3645,,,
Local DRAM data volume [GByte],0.1315,0.0266,,,
Local DRAM bandwidth [MByte/s],22.5239,4.5531,,,
Remote DRAM data volume [GByte],1.254400e-05,3.251200e-05,,,
Remote DRAM bandwidth [MByte/s],0.0021,0.0056,,,
Memory data volume [GByte],0.1315,0.0266,,,
Memory bandwidth [MByte/s],22.5261,4.5587,,,
TABLE,Group 1 Metric STAT,NUMA,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,11.6796,5.8398,5.8398,5.8398,
Runtime unhalted [s] STAT,6.6002,0.0194,6.5808,3.3001,
Clock [MHz] STAT,5190.9060,2122.3512,3068.5548,2595.4530,
CPI STAT,1.7395,0.3750,1.3645,0.8698,
Local DRAM data volume [GByte] STAT,0.1581,0.0266,0.1315,0.0791,
Local DRAM bandwidth [MByte/s] STAT,27.0770,4.5531,22.5239,13.5385,
Remote DRAM data volume [GByte] STAT,4.505600e-05,1.254400e-05,3.251200e-05,2.252800e-05,
Remote DRAM bandwidth [MByte/s] STAT,0.0077,0.0021,0.0056,0.0039,
Memory data volume [GByte] STAT,0.1581,0.0266,0.1315,0.0791,
Memory bandwidth [MByte/s] STAT,27.0848,4.5587,22.5261,13.5424,
