STRUCT,Info,3,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,
CPU clock:,2.394314374 GHz,,,,,,,,
TABLE,Group 1 Raw,NUMA,5,,,,,,
Event,Counter,Core 0,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14
INSTR_RETIRED_ANY,FIXC0,42008312435,5143855,30580745,5246734,5235863,5183755,5223536,4514710
CPU_CLK_UNHALTED_CORE,FIXC1,15773857902,12718266,39371759,12887620,12868111,12798766,12775911,11155732
CPU_CLK_UNHALTED_REF,FIXC2,12297760008,24885192,59730528,25113984,25246344,24989208,25061808,21735960
OFFCORE_RESPONSE_0_LOCAL_DRAM,PMC0,143631,159772,145730,155634,157261,158352,157907,149177
OFFCORE_RESPONSE_1_REMOTE_DRAM,PMC1,401390,88,9773,34,36,42,48,30
TABLE,Group 1 Raw STAT,NUMA,5,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,
INSTR_RETIRED_ANY STAT,FIXC0,42069441633,4514710,42008312435,5.258680e+09,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,15888434067,11155732,15773857902,1.986054e+09,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,12504523032,21735960,12297760008,1563065379,,,,
OFFCORE_RESPONSE_0_LOCAL_DRAM STAT,PMC0,1227464,143631,159772,153433,,,,
OFFCORE_RESPONSE_1_REMOTE_DRAM STAT,PMC1,411441,30,401390,51430.1250,,,,
TABLE,Group 1 Metric,NUMA,10,,,,,,
Metric,Core 0,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,
Runtime (RDTSC) [s],5.8471,5.8471,5.8471,5.8471,5.8471,5.8471,5.8471,5.8471,
Runtime unhalted [s],6.5880,0.0053,0.0164,0.0054,0.0054,0.0053,0.0053,0.0047,
Clock [MHz],3071.0938,1223.6806,1578.2276,1228.6786,1220.3867,1226.3001,1220.5643,1228.8544,
CPI,0.3755,2.4725,1.2875,2.4563,2.4577,2.4690,2.4458,2.4710,
Local DRAM data volume [GByte],0.0092,0.0102,0.0093,0.0100,0.0101,0.0101,0.0101,0.0095,
Local DRAM bandwidth [MByte/s],1.5721,1.7488,1.5951,1.7035,1.7213,1.7333,1.7284,1.6328,
Remote DRAM data volume [GByte],0.0257,5.632000e-06,0.0006,2.176000e-06,2.304000e-06,2.688000e-06,3.072000e-06,1.920000e-06,
Remote DRAM bandwidth [MByte/s],4.3934,0.0010,0.1070,0.0004,0.0004,0.0005,0.0005,0.0003,
Memory data volume [GByte],0.0349,0.0102,0.0100,0.0100,0.0101,0.0101,0.0101,0.0095,
Memory bandwidth [MByte/s],5.9656,1.7498,1.7021,1.7039,1.7217,1.7337,1.7289,1.6332,
TABLE,Group 1 Metric STAT,NUMA,10,,,,,,
Metric,Sum,Min,Max,Avg,,,,,
Runtime (RDTSC) [s] STAT,46.7768,5.8471,5.8471,5.8471,,,,,
Runtime unhalted [s] STAT,6.6358,0.0047,6.5880,0.8295,,,,,
Clock [MHz] STAT,11997.7861,1220.3867,3071.0938,1499.7233,,,,,
CPI STAT,16.4353,0.3755,2.4725,2.0544,,,,,
Local DRAM data volume [GByte] STAT,0.0785,0.0092,0.0102,0.0098,,,,,
Local DRAM bandwidth [MByte/s] STAT,13.4353,1.5721,1.7488,1.6794,,,,,
Remote DRAM data volume [GByte] STAT,0.0263,1.920000e-06,0.0257,0.0033,,,,,
Remote DRAM bandwidth [MByte/s] STAT,4.5035,0.0003,4.3934,0.5629,,,,,
Memory data volume [GByte] STAT,0.1049,0.0095,0.0349,0.0131,,,,,
Memory bandwidth [MByte/s] STAT,17.9389,1.6332,5.9656,2.2424,,,,,
