STRUCT,Info,3,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,
CPU clock:,2.394345592 GHz,,,,
TABLE,Group 1 Raw,NUMA,5,,
Event,Counter,Core 0,Core 8,,
INSTR_RETIRED_ANY,FIXC0,42013941604,33986196,,
CPU_CLK_UNHALTED_CORE,FIXC1,15735410299,43298960,,
CPU_CLK_UNHALTED_REF,FIXC2,12502386096,67334616,,
OFFCORE_RESPONSE_0_LOCAL_DRAM,PMC0,640070,451646,,
OFFCORE_RESPONSE_1_REMOTE_DRAM,PMC1,756182,19194,,
TABLE,Group 1 Raw STAT,NUMA,5,,
Event,Counter,Sum,Min,Max,Avg
INSTR_RETIRED_ANY STAT,FIXC0,42047927800,33986196,42013941604,21023963900
CPU_CLK_UNHALTED_CORE STAT,FIXC1,15778709259,43298960,15735410299,7.889355e+09
CPU_CLK_UNHALTED_REF STAT,FIXC2,12569720712,67334616,12502386096,6284860356
OFFCORE_RESPONSE_0_LOCAL_DRAM STAT,PMC0,1091716,451646,640070,545858
OFFCORE_RESPONSE_1_REMOTE_DRAM STAT,PMC1,775376,19194,756182,387688
TABLE,Group 1 Metric,NUMA,10,,
Metric,Core 0,Core 8,,,
Runtime (RDTSC) [s],5.8148,5.8148,,,
Runtime unhalted [s],6.5719,0.0181,,,
Clock [MHz],3013.5056,1539.6638,,,
CPI,0.3745,1.2740,,,
Local DRAM data volume [GByte],0.0410,0.0289,,,
Local DRAM bandwidth [MByte/s],7.0449,4.9710,,,
Remote DRAM data volume [GByte],0.0484,0.0012,,,
Remote DRAM bandwidth [MByte/s],8.3229,0.2113,,,
Memory data volume [GByte],0.0894,0.0301,,,
Memory bandwidth [MByte/s],15.3678,5.1823,,,
TABLE,Group 1 Metric STAT,NUMA,10,,
Metric,Sum,Min,Max,Avg,
Runtime (RDTSC) [s] STAT,11.6296,5.8148,5.8148,5.8148,
Runtime unhalted [s] STAT,6.5900,0.0181,6.5719,3.2950,
Clock [MHz] STAT,4553.1694,1539.6638,3013.5056,2276.5847,
CPI STAT,1.6485,0.3745,1.2740,0.8243,
Local DRAM data volume [GByte] STAT,0.0699,0.0289,0.0410,0.0350,
Local DRAM bandwidth [MByte/s] STAT,12.0159,4.9710,7.0449,6.0080,
Remote DRAM data volume [GByte] STAT,0.0496,0.0012,0.0484,0.0248,
Remote DRAM bandwidth [MByte/s] STAT,8.5342,0.2113,8.3229,4.2671,
Memory data volume [GByte] STAT,0.1195,0.0301,0.0894,0.0597,
Memory bandwidth [MByte/s] STAT,20.5501,5.1823,15.3678,10.2751,
