STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.394347735 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region coo,Group 1 Raw,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
RDTSC Runtime [s],0.039627,0.031539,0.001184,0.023130,0.024106,0.027831,0.022037,0.025394,0.026668,0.029025,0.033883,0.000082,0.032710,0.035008,0.030371,0.015107,0.004386,0.016021,0.013782,0.006660,0.010226,0.012548,0.005578,0.003447,0.002254,0.017198,0.020841,0.011316,0.007982,0.019765,0.009197,0.019792,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31
INSTR_RETIRED_ANY,FIXC0,2495535,3617324,847908,2126199,2725908,2126247,2126293,2126348,2126385,2126421,2126456,26292,2126533,2126559,2126577,2126537,2126499,2126654,2126757,2126721,2126761,2126850,2126769,2126735,1534106,2126995,2127019,2127068,2127096,2127078,2127135,2127133
CPU_CLK_UNHALTED_CORE,FIXC1,5541179,5875123,1774423,4521031,5036300,4513360,4511601,4468259,4533764,4528042,4539613,69043,4539058,4532032,4524514,4483815,4482072,4492883,4670524,4496917,4458292,4528753,4467161,4336117,3152903,4504947,4525702,4495534,4524629,4463175,4502688,5441061
CPU_CLK_UNHALTED_REF,FIXC2,9344112,9725496,2839080,7747248,8027712,7899744,7734312,7660152,7788432,8134032,8376864,110520,8372808,8367120,7753200,4677288,6383448,6736680,8004360,7706112,6714984,7763568,7658064,7433328,5404944,8313336,8351376,7704432,7753656,7654800,7204416,5676792
UOPS_ISSUED_ANY,PMC0,4786410,6028799,1687360,4274512,5007403,4270460,4273041,4276709,4276686,4277256,4276793,42281,4277577,4274173,4273035,4260259,4244038,4268652,4275387,4267745,4267124,4276580,4256483,4242429,3058417,4276609,4274671,4276102,4275576,4265549,4269346,4253584
UOPS_EXECUTED_THREAD,PMC1,3331729,4610383,1096192,2781290,3530605,2775894,2777472,2782639,2783059,2783272,2783738,38092,2784991,2782179,2780648,2761528,2734477,2770047,2765839,2769232,2769032,2781914,2755210,2737517,1977350,2781995,2779744,2781382,2780687,2767888,2772664,2613247
UOPS_RETIRED_ALL,PMC2,4730380,6065383,1685338,4268134,4997179,4264818,4267387,4270199,4270848,4270276,4270203,42181,4270354,4268233,4266200,4255890,4242852,4262695,4268641,4261871,4262718,4269765,4253149,4242590,3057294,4270060,4268153,4270374,4269231,4260940,4264344,4251340
UOPS_ISSUED_FLAGS_MERGE,PMC3,788,8202,486,467,3275,466,462,481,471,483,476,460,487,459,479,462,498,509,514,514,522,524,499,526,506,510,539,521,536,533,499,454
