STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.394346352 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region coo,Group 1 Raw,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
RDTSC Runtime [s],25.244540,25.250550,25.255570,25.193210,25.218610,25.220160,25.246860,25.208590,24.776070,24.893900,24.866390,24.823890,24.810030,24.848420,24.879070,24.849400,25.212870,25.208810,25.258050,25.198790,25.213970,25.237300,25.225980,25.221440,24.820300,24.906100,24.872800,24.835430,24.821380,24.837560,24.908500,24.851200,
call count,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31
INSTR_RETIRED_ANY,FIXC0,18201270000,18112320000,18068950000,18013880000,18023950000,18077510000,18157500000,18031440000,17989120000,18133850000,18053450000,18105770000,18121250000,18154840000,18172330000,18089040000,18095260000,18114400000,18096770000,18019360000,18002910000,18181880000,18129910000,18073560000,18034740000,18126060000,18059080000,18094830000,18108020000,18107890000,18186820000,18068350000
CPU_CLK_UNHALTED_CORE,FIXC1,65024700000,65137460000,64978990000,64918090000,64962750000,65022870000,65081870000,65001340000,63821160000,64041090000,63928050000,63885560000,63915070000,64143650000,64204230000,64272720000,65015730000,65051350000,64991920000,64967250000,64965430000,65097700000,65059830000,65061130000,63910930000,64068900000,63984390000,63913010000,63950550000,64117430000,64275910000,64289040000
CPU_CLK_UNHALTED_REF,FIXC2,60330890000,60464320000,60403450000,60260430000,60321090000,60373430000,60464200000,60308670000,59443620000,59656060000,59531280000,59523460000,59435540000,59577750000,59605000000,59541380000,60320250000,60382460000,60415070000,60304810000,60321870000,60442160000,60439850000,60360760000,59526310000,59683790000,59582910000,59553320000,59469790000,59553340000,59671830000,59556530000
UOPS_ISSUED_ANY,PMC0,32846270000,32669230000,32593440000,32482780000,32507690000,32605610000,32760030000,32512490000,32382720000,32663830000,32509080000,32591770000,32632740000,32669340000,32737280000,32578660000,32632700000,32642670000,32631650000,32477910000,32454730000,32729220000,32694120000,32584770000,32422880000,32637070000,32508460000,32566790000,32600560000,32599950000,32753420000,32526980000
UOPS_EXECUTED_THREAD,PMC1,29258190000,29166100000,29109880000,29030740000,29038900000,29104000000,29199020000,29049330000,28964660000,29159000000,29049280000,29125530000,29124960000,29177400000,29187560000,29086670000,20781800000,20788110000,20764090000,20673540000,20666520000,20865610000,20826690000,20741730000,20670020000,20778290000,20705580000,20730610000,20772190000,20763350000,20870580000,20728360000
UOPS_RETIRED_ALL,PMC2,32428570000,32243440000,32163470000,32052840000,32072000000,32177030000,32337230000,32082110000,31999720000,32286340000,32125070000,32215190000,32254800000,32291520000,32359500000,32192370000,32205250000,32224220000,32205330000,32047500000,32017390000,32310840000,32269700000,32155960000,32045510000,32258250000,32122240000,32191830000,32220030000,32219130000,32374960000,32138310000
UOPS_ISSUED_FLAGS_MERGE,PMC3,7366833,7423300,7464211,7501954,7535412,7588875,7624891,7687731,7693582,7710730,7753481,7818656,7851455,7961725,7925280,7997999,8014430,8082286,8115468,8152946,8179952,8238154,8269850,8319977,8697666,8388093,8419777,8461430,8498103,8553034,8609445,8687426
TABLE,Region coo,Group 1 Raw STAT,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,579006310000,17989120000,18201270000,1.809395e+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2065060100000,63821160000,65137460000,64533128125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,1918825620000,59435540000,60464320000,59963300625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_ISSUED_ANY STAT,PMC0,1043206840000,32382720000,32846270000,32600213750,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_EXECUTED_THREAD STAT,PMC1,797958290000,20666520000,29258190000,2.493620e+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_RETIRED_ALL STAT,PMC2,1030287650000,31999720000,32428570000,3.219649e+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_ISSUED_FLAGS_MERGE STAT,PMC3,256594152,7366833,8697666,8.018567e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
