STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.394344659 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region coo,Group 1 Raw,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
RDTSC Runtime [s],0.043319,0.033983,0.036243,0.037532,0.038601,0.008826,0.032475,0.029640,0.004967,0.000060,0.033863,0.007561,0.024068,0.004199,0.018871,0.014428,0.001771,0.030835,0.026876,0.028302,0.015299,0.021637,0.014253,0.006309,0.012761,0.001297,0.025623,0.010023,0.022935,0.011507,0.019061,0.017589,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31
INSTR_RETIRED_ANY,FIXC0,5054088,2482402,2156428,2106824,2106854,2106871,2106880,4334881,2106837,6840,2107068,2107072,2107152,2107017,2107269,2107235,1265251,2107293,2107320,2107352,2107381,2107422,2107465,2107430,2107526,586107,2107617,2107759,2107713,2107767,2107887,2107832
CPU_CLK_UNHALTED_CORE,FIXC1,7009114,5859517,5038048,4880606,4471537,4463011,4462637,6990296,4426058,25140,5116495,5371914,5592472,4411185,5832219,4788414,2662708,4909408,4466459,4468371,4454791,4747517,4460269,4831700,5036588,1563282,4481286,5791540,5444797,5123706,5873381,5172435
CPU_CLK_UNHALTED_REF,FIXC2,12345580,10532470,9267096,9003840,8251344,6302976,8231640,11955910,6636864,50256,9240816,9061272,8891952,7053024,10767100,8208720,4260312,8422344,7653504,7657008,7636488,7522464,7643016,8279880,7912920,3126456,7678992,9925392,8519064,8664720,10842430,9210840
UOPS_ISSUED_ANY,PMC0,7825858,4694420,4314877,4243937,4244477,4237734,4237396,6737708,4215609,10231,4241467,4236909,4245723,4212735,4257036,4242810,2529078,4240559,4237872,4238147,4236027,4228552,4238290,4213328,4232688,1164555,4235665,4251007,4246722,4244126,4260921,4239180
UOPS_EXECUTED_THREAD,PMC1,6427018,3426407,2915236,2840298,2755260,2745303,2744269,5447638,2725911,10799,2895331,2776335,2829934,2720829,2961384,2774773,1626614,2661284,2744066,2744710,2743324,2708536,2745474,2676744,2653070,715556,2740565,2680822,2706985,2661702,2567279,2678448
UOPS_RETIRED_ALL,PMC2,7812563,4691823,4298854,4236409,4236250,4231463,4230548,6920712,4212943,10154,4234311,4232179,4238516,4210138,4249838,4236337,2526094,4235036,4231100,4231383,4229458,4221912,4231787,4209000,4227575,1162596,4229603,4242939,4240543,4237281,4252862,4232284
UOPS_ISSUED_FLAGS_MERGE,PMC3,13967,2114,532,484,485,440,457,10889,463,389,466,399,423,493,405,424,538,411,489,477,510,532,514,483,479,459,509,448,440,494,468,538
TABLE,Region coo,Group 1 Raw STAT,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,68568840,6840,5054088,2.142776e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,152226901,25140,7009114,4.757091e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,260756690,50256,12345580,8.148647e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_ISSUED_ANY STAT,PMC0,133235644,10231,7825858,4.163614e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_EXECUTED_THREAD STAT,PMC1,89051904,10799,6427018,2782872,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_RETIRED_ALL STAT,PMC2,133224491,10154,7812563,4.163265e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_ISSUED_FLAGS_MERGE STAT,PMC3,40619,389,13967,1269.3438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region coo,Group 1 Metric,UOPS,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
Runtime (RDTSC) [s],0.0433,0.0340,0.0362,0.0375,0.0386,0.0088,0.0325,0.0296,0.0050,0.0001,0.0339,0.0076,0.0241,0.0042,0.0189,0.0144,0.0018,0.0308,0.0269,0.0283,0.0153,0.0216,0.0143,0.0063,0.0128,0.0013,0.0256,0.0100,0.0229,0.0115,0.0191,0.0176,
Runtime unhalted [s],0.0029,0.0024,0.0021,0.0020,0.0019,0.0019,0.0019,0.0029,0.0018,1.049974e-05,0.0021,0.0022,0.0023,0.0018,0.0024,0.0020,0.0011,0.0021,0.0019,0.0019,0.0019,0.0020,0.0019,0.0020,0.0021,0.0007,0.0019,0.0024,0.0023,0.0021,0.0025,0.0022,
Clock [MHz],1359.3719,1332.0430,1301.6832,1297.8743,1297.5342,1695.3875,1298.0513,1399.9083,1596.7644,1197.7440,1325.7111,1419.4711,1505.8904,1497.4991,1296.9455,1396.6993,1496.4727,1395.6702,1397.3001,1397.2586,1396.7553,1511.0996,1397.2784,1397.2129,1524.0047,1197.2137,1397.2854,1397.1179,1530.2996,1415.8470,1297.0246,1344.5671,
CPI,1.3868,2.3604,2.3363,2.3166,2.1224,2.1183,2.1181,1.6126,2.1008,3.6754,2.4283,2.5495,2.6540,2.0936,2.7677,2.2724,2.1045,2.3297,2.1195,2.1204,2.1139,2.2528,2.1164,2.2927,2.3898,2.6672,2.1262,2.7477,2.5833,2.4309,2.7864,2.4539,
Issued UOPs,7825858,4694420,4314877,4243937,4244477,4237734,4237396,6737708,4215609,10231,4241467,4236909,4245723,4212735,4257036,4242810,2529078,4240559,4237872,4238147,4236027,4228552,4238290,4213328,4232688,1164555,4235665,4251007,4246722,4244126,4260921,4239180,
Merged UOPs,13967,2114,532,484,485,440,457,10889,463,389,466,399,423,493,405,424,538,411,489,477,510,532,514,483,479,459,509,448,440,494,468,538,
Executed UOPs,6427018,3426407,2915236,2840298,2755260,2745303,2744269,5447638,2725911,10799,2895331,2776335,2829934,2720829,2961384,2774773,1626614,2661284,2744066,2744710,2743324,2708536,2745474,2676744,2653070,715556,2740565,2680822,2706985,2661702,2567279,2678448,
Retired UOPs,7812563,4691823,4298854,4236409,4236250,4231463,4230548,6920712,4212943,10154,4234311,4232179,4238516,4210138,4249838,4236337,2526094,4235036,4231100,4231383,4229458,4221912,4231787,4209000,4227575,1162596,4229603,4242939,4240543,4237281,4252862,4232284,
TABLE,Region coo,Group 1 Metric STAT,UOPS,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runtime (RDTSC) [s] STAT,0.6348,0.0001,0.0433,0.0198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runtime unhalted [s] STAT,0.0636,1.049974e-05,0.0029,0.0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clock [MHz] STAT,44710.9864,1197.2137,1695.3875,1397.2183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI STAT,74.5485,1.3868,3.6754,2.3296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issued UOPs STAT,133235644,10231,7825858,4.163614e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merged UOPs STAT,40619,389,13967,1269.3438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Executed UOPs STAT,89051904,10799,6427018,2782872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retired UOPs STAT,133224491,10154,7812563,4.163265e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
