STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.394350792 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region csr,Group 1 Raw,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
RDTSC Runtime [s],0.908998,0.817435,0.877968,0.853661,0.841456,0.791599,0.848849,0.807644,1.000369,1.120183,1.145901,1.173829,1.228917,1.226414,1.187235,1.080558,0.831397,0.793380,0.865478,0.821717,0.806906,0.764638,0.808185,0.803512,0.983680,1.054077,1.123121,1.162566,1.200367,1.201464,1.183461,1.056997,
call count,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31
INSTR_RETIRED_ANY,FIXC0,930811700,571265800,1058229000,1013592000,1011562000,988810100,1019879000,993496000,1152539000,1279847000,1304935000,1340448000,1359772000,1368845000,1325771000,1233517000,1002300000,969305600,1033515000,993244100,997631500,947031000,984690700,965284000,1157122000,1225357000,1287932000,1321477000,1339326000,1353129000,1357711000,1269729000
CPU_CLK_UNHALTED_CORE,FIXC1,2591763000,1301680000,2627669000,2486579000,2497308000,2444353000,2546110000,2475762000,3010866000,3272780000,3318087000,3403763000,3477468000,3476037000,3409279000,3136039000,2481266000,2375078000,2534531000,2442219000,2452186000,2370932000,2440906000,2393837000,2991514000,3103460000,3259646000,3375964000,3409505000,3450885000,3397985000,3071745000
CPU_CLK_UNHALTED_REF,FIXC2,2409335000,1213646000,2445374000,2313739000,2320292000,2270115000,2368814000,2304605000,2809649000,3046323000,3089517000,3171688000,3244427000,3230357000,3172648000,2916430000,2305759000,2210250000,2359789000,2271725000,2277702000,2203214000,2270421000,2228619000,2791773000,2889326000,3035296000,3145624000,3180508000,3206233000,3162255000,2856414000
UOPS_ISSUED_ANY,PMC0,1774099000,964531200,1883871000,1782516000,1784946000,1733362000,1806790000,1751405000,2084125000,2333306000,2374599000,2437478000,2487020000,2493497000,2427423000,2228498000,1769758000,1690517000,1817099000,1742682000,1752246000,1665766000,1731375000,1693311000,2079570000,2212374000,2334071000,2408652000,2439787000,2469456000,2448099000,2231489000
UOPS_EXECUTED_THREAD,PMC1,1237532000,737328500,1380500000,1319570000,1317318000,1286809000,1328926000,1293205000,1497903000,1662422000,1687361000,1729062000,1757358000,1766808000,1715157000,1600895000,1239925000,1191577000,1276325000,1223868000,1230649000,1169329000,1215665000,1191053000,1438845000,1528764000,1609444000,1655125000,1676599000,1693498000,1692400000,1568078000
UOPS_RETIRED_ALL,PMC2,1781037000,986251700,1910183000,1810574000,1811920000,1759614000,1831935000,1777745000,2109110000,2357772000,2400496000,2464530000,2512109000,2520139000,2451209000,2253764000,1794915000,1717475000,1844516000,1769072000,1778523000,1690009000,1756783000,1718539000,2104872000,2237160000,2359472000,2433052000,2464734000,2493964000,2476974000,2265610000
UOPS_ISSUED_FLAGS_MERGE,PMC3,7336929,3960618,7461643,7481147,7520998,7647161,7626499,7642500,7718524,7730511,7770357,7831083,7862813,7919467,7957950,8014233,7990874,8047887,8093477,8118312,8163644,8187057,8236333,8276372,8347454,8367123,8415473,8472475,8502514,8560334,8585770,8655030
TABLE,Region csr,Group 1 Raw STAT,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,36158104500,571265800,1368845000,1.129941e+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,91027202000,1301680000,3477468000,2.844600e+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,84721867000,1213646000,3244427000,2.647558e+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_ISSUED_ANY STAT,PMC0,64833718200,964531200,2493497000,2.026054e+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_EXECUTED_THREAD STAT,PMC1,45919298500,737328500,1766808000,1.434978e+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_RETIRED_ALL STAT,PMC2,65644058700,986251700,2520139000,2.051377e+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_ISSUED_FLAGS_MERGE STAT,PMC3,252502562,3960618,8655030,7.890705e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region csr,Group 1 Metric,UOPS,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
Runtime (RDTSC) [s],0.9090,0.8174,0.8780,0.8537,0.8415,0.7916,0.8488,0.8076,1.0004,1.1202,1.1459,1.1738,1.2289,1.2264,1.1872,1.0806,0.8314,0.7934,0.8655,0.8217,0.8069,0.7646,0.8082,0.8035,0.9837,1.0541,1.1231,1.1626,1.2004,1.2015,1.1835,1.0570,
Runtime unhalted [s],1.0824,0.5436,1.0974,1.0385,1.0430,1.0209,1.0634,1.0340,1.2575,1.3669,1.3858,1.4216,1.4524,1.4518,1.4239,1.3098,1.0363,0.9920,1.0585,1.0200,1.0242,0.9902,1.0194,0.9998,1.2494,1.2962,1.3614,1.4100,1.4240,1.4413,1.4192,1.2829,
Clock [MHz],2575.6442,2568.0293,2572.8422,2573.2126,2577.0168,2578.1243,2573.5581,2572.1730,2565.8256,2572.3416,2571.4907,2569.5474,2566.3324,2576.4496,2572.9327,2574.6469,2576.6011,2572.9080,2571.6521,2574.0479,2577.7707,2576.6189,2574.1416,2571.8553,2565.6577,2571.8011,2571.3262,2569.6784,2566.7444,2577.0520,2572.8374,2574.8491,
CPI,2.7844,2.2786,2.4831,2.4532,2.4688,2.4720,2.4965,2.4920,2.6124,2.5572,2.5427,2.5393,2.5574,2.5394,2.5715,2.5424,2.4756,2.4503,2.4523,2.4588,2.4580,2.5035,2.4789,2.4799,2.5853,2.5327,2.5309,2.5547,2.5457,2.5503,2.5027,2.4192,
Issued UOPs,1774099000,964531200,1883871000,1782516000,1784946000,1733362000,1806790000,1751405000,2084125000,2333306000,2374599000,2437478000,2487020000,2493497000,2427423000,2228498000,1769758000,1690517000,1817099000,1742682000,1752246000,1665766000,1731375000,1693311000,2079570000,2212374000,2334071000,2408652000,2439787000,2469456000,2448099000,2231489000,
Merged UOPs,7336929,3960618,7461643,7481147,7520998,7647161,7626499,7642500,7718524,7730511,7770357,7831083,7862813,7919467,7957950,8014233,7990874,8047887,8093477,8118312,8163644,8187057,8236333,8276372,8347454,8367123,8415473,8472475,8502514,8560334,8585770,8655030,
Executed UOPs,1237532000,737328500,1380500000,1319570000,1317318000,1286809000,1328926000,1293205000,1497903000,1662422000,1687361000,1729062000,1757358000,1766808000,1715157000,1600895000,1239925000,1191577000,1276325000,1223868000,1230649000,1169329000,1215665000,1191053000,1438845000,1528764000,1609444000,1655125000,1676599000,1693498000,1692400000,1568078000,
Retired UOPs,1781037000,986251700,1910183000,1810574000,1811920000,1759614000,1831935000,1777745000,2109110000,2357772000,2400496000,2464530000,2512109000,2520139000,2451209000,2253764000,1794915000,1717475000,1844516000,1769072000,1778523000,1690009000,1756783000,1718539000,2104872000,2237160000,2359472000,2433052000,2464734000,2493964000,2476974000,2265610000,
TABLE,Region csr,Group 1 Metric STAT,UOPS,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
