STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.394347011 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region csr,Group 1 Raw,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
RDTSC Runtime [s],2.690215,2.749343,2.717763,2.704158,2.632756,2.722556,2.715593,2.658215,2.211892,2.317645,2.358080,2.285939,2.335773,2.342495,2.348378,2.261885,2.606991,2.734940,2.726571,2.702525,2.640814,2.724146,2.703413,2.660055,2.227466,2.340727,2.363601,2.319851,2.373134,2.328842,2.356015,2.285500,
call count,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31
INSTR_RETIRED_ANY,FIXC0,4928092000,5025744000,4976892000,4967585000,4869599000,4985257000,4974988000,4868543000,4333072000,4443923000,4480004000,4139959000,4455278000,4475360000,4468205000,4379755000,4853201000,5013863000,4995487000,4974615000,4898141000,5010279000,5024228000,4902670000,4361266000,4467698000,4507666000,4463376000,4501140000,4477090000,4486941000,4425547000
CPU_CLK_UNHALTED_CORE,FIXC1,7205114000,7398593000,7324144000,7320739000,7182888000,7344352000,7325636000,7184328000,6176109000,6342102000,6414665000,5870709000,6361075000,6440167000,6415165000,6209310000,7124480000,7382330000,7346303000,7318999000,7209819000,7366888000,7378993000,7218717000,6227274000,6395238000,6463125000,6367214000,6457203000,6422256000,6443491000,6296715000
CPU_CLK_UNHALTED_REF,FIXC2,6704747000,6878262000,6811524000,6805880000,6680770000,6837163000,6820997000,6681856000,5759533000,5912055000,5989156000,5477618000,5930001000,5995322000,5964011000,5769953000,6622459000,6862851000,6833552000,6804797000,6706478000,6856343000,6867992000,6712369000,5806481000,5962723000,6033997000,5938119000,6021017000,5975020000,5990601000,5849734000
UOPS_ISSUED_ANY,PMC0,5880418000,6072995000,5976319000,5957360000,5762703000,5992415000,5970020000,5756791000,4694536000,4915621000,4986998000,4555253000,4933430000,4976245000,4959825000,4783480000,5720755000,6037582000,6000149000,5957970000,5800891000,6027564000,6054282000,5809436000,4737835000,4949733000,5025353000,4940019000,5014097000,4966753000,4984143000,4859644000
UOPS_EXECUTED_THREAD,PMC1,6202548000,6315686000,6251075000,6241126000,6117616000,6261534000,6243638000,6115965000,5440766000,5581694000,5628782000,5195057000,5591642000,5627364000,5613685000,5496175000,5264362000,5463588000,5439241000,5412690000,5314743000,5456309000,5470662000,5317017000,4667080000,4791240000,4839863000,4786170000,4830711000,4805309000,4815530000,4741056000
UOPS_RETIRED_ALL,PMC2,6400793000,6594457000,6496466000,6477288000,6280884000,6511078000,6490166000,6275186000,5206597000,5426631000,5497838000,5034140000,5444370000,5486284000,5470499000,5292804000,6238621000,6557944000,6520508000,6478299000,6320258000,6548000000,6575147000,6328746000,5249994000,5460484000,5536849000,5450858000,5525010000,5476977000,5495146000,5369831000
