STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.394343427 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region csr,Group 1 Raw,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
RDTSC Runtime [s],0.040926,0.035975,0.032603,0.033846,0.035974,0.022598,0.031344,0.030193,0.018911,0.005655,0.003119,0.011247,0.001002,0.000044,0.004320,0.016563,0.021319,0.025253,0.026550,0.027879,0.027871,0.020081,0.023889,0.008787,0.002140,0.006488,0.013972,0.011270,0.010025,0.015345,0.004011,0.015355,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31
INSTR_RETIRED_ANY,FIXC0,7295835,4761145,2354647,2106468,2106534,2106548,2106588,2106625,2106619,2106610,2106537,2106814,671405,6633,2106699,2106920,2106944,2106942,2106974,2106998,2107035,2107111,2107107,2107196,1538924,2107211,2107247,2107397,2107368,2107348,2070737,2107482
CPU_CLK_UNHALTED_CORE,FIXC1,9654730,6592817,6211624,5530810,5360496,5406783,5253178,4491436,4454894,5525103,4374747,5863419,1406794,26317,5728120,5710527,4806853,4587409,4454798,4485300,4465371,4972590,4474500,4496606,3206821,5578782,4476271,5869477,4556647,4439799,5588148,5478247
CPU_CLK_UNHALTED_REF,FIXC2,16328860,11878250,11279590,10213540,9898872,8660952,9457680,8296272,7712424,9834120,6999576,10485340,2411616,50928,9819672,9785400,7623624,7872360,7643664,7695336,7660584,7966464,7676832,8305536,5130936,10055980,7744512,10501010,8409792,7614336,9579792,9387336
UOPS_ISSUED_ANY,PMC0,10355510,7334671,4600939,4234583,4239382,4238065,4239000,4244933,4238752,4233295,4211495,4257768,1343333,11962,4212616,4243684,4235699,4236743,4236418,4236451,4236474,4244107,4236556,4245098,3077868,4236868,4235403,4260572,4242647,4233831,4140295,4245926
UOPS_EXECUTED_THREAD,PMC1,9182377,5968174,3373541,3012530,2978824,2947248,2938147,2754385,2748194,2738615,2711984,2867740,868280,11775,2612756,2881715,2715144,2730384,2742498,2740900,2743243,2641308,2742418,2755643,1983134,2734078,2739685,2662840,2738650,2740400,2782714,2671861
UOPS_RETIRED_ALL,PMC2,10501420,7454205,4545286,4227448,4231634,4231215,4231547,4237362,4233111,4228950,4209676,4250283,1338756,9557,4211137,4236646,4227303,4229607,4230333,4230406,4229948,4237836,4230160,4237144,3073500,4231631,4229397,4252340,4235866,4228520,4137305,4239846
UOPS_ISSUED_FLAGS_MERGE,PMC3,26289,12276,726,435,482,411,469,443,448,393,449,397,487,457,421,429,513,472,488,493,476,417,495,510,512,431,535,440,522,495,462,456
TABLE,Region csr,Group 1 Raw STAT,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,71372648,6633,7295835,2.230395e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,157529414,26317,9654730,4.922794e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,273981186,50928,16328860,8.561912e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_ISSUED_ANY STAT,PMC0,136820944,11962,10355510,4.275654e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_EXECUTED_THREAD STAT,PMC1,93461185,11775,9182377,2.920662e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_RETIRED_ALL STAT,PMC2,136859375,9557,10501420,4.276855e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UOPS_ISSUED_FLAGS_MERGE STAT,PMC3,52729,393,26289,1647.7812,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region csr,Group 1 Metric,UOPS,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
Runtime (RDTSC) [s],0.0409,0.0360,0.0326,0.0338,0.0360,0.0226,0.0313,0.0302,0.0189,0.0057,0.0031,0.0112,0.0010,4.407054e-05,0.0043,0.0166,0.0213,0.0253,0.0266,0.0279,0.0279,0.0201,0.0239,0.0088,0.0021,0.0065,0.0140,0.0113,0.0100,0.0153,0.0040,0.0154,
Runtime unhalted [s],0.0040,0.0028,0.0026,0.0023,0.0022,0.0023,0.0022,0.0019,0.0019,0.0023,0.0018,0.0024,0.0006,1.099132e-05,0.0024,0.0024,0.0020,0.0019,0.0019,0.0019,0.0019,0.0021,0.0019,0.0019,0.0013,0.0023,0.0019,0.0025,0.0019,0.0019,0.0023,0.0023,
Clock [MHz],1415.6983,1328.9389,1318.5551,1296.5787,1296.5991,1494.7197,1329.9152,1296.2497,1383.0342,1345.2138,1496.4687,1338.9207,1396.7182,1237.2749,1396.6950,1397.2819,1509.6832,1395.2401,1395.4455,1395.5659,1395.6680,1494.5261,1395.5613,1296.2943,1496.4581,1328.3161,1383.9129,1338.3040,1297.3184,1396.1038,1396.6843,1397.2872,
CPI,1.3233,1.3847,2.6380,2.6256,2.5447,2.5667,2.4937,2.1321,2.1147,2.6227,2.0767,2.7831,2.0953,3.9676,2.7190,2.7104,2.2814,2.1773,2.1143,2.1288,2.1193,2.3599,2.1235,2.1339,2.0838,2.6475,2.1242,2.7852,2.1622,2.1068,2.6986,2.5994,
Issued UOPs,10355510,7334671,4600939,4234583,4239382,4238065,4239000,4244933,4238752,4233295,4211495,4257768,1343333,11962,4212616,4243684,4235699,4236743,4236418,4236451,4236474,4244107,4236556,4245098,3077868,4236868,4235403,4260572,4242647,4233831,4140295,4245926,
Merged UOPs,26289,12276,726,435,482,411,469,443,448,393,449,397,487,457,421,429,513,472,488,493,476,417,495,510,512,431,535,440,522,495,462,456,
Executed UOPs,9182377,5968174,3373541,3012530,2978824,2947248,2938147,2754385,2748194,2738615,2711984,2867740,868280,11775,2612756,2881715,2715144,2730384,2742498,2740900,2743243,2641308,2742418,2755643,1983134,2734078,2739685,2662840,2738650,2740400,2782714,2671861,
Retired UOPs,10501420,7454205,4545286,4227448,4231634,4231215,4231547,4237362,4233111,4228950,4209676,4250283,1338756,9557,4211137,4236646,4227303,4229607,4230333,4230406,4229948,4237836,4230160,4237144,3073500,4231631,4229397,4252340,4235866,4228520,4137305,4239846,
TABLE,Region csr,Group 1 Metric STAT,UOPS,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runtime (RDTSC) [s] STAT,0.5846,4.407054e-05,0.0409,0.0183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runtime unhalted [s] STAT,0.0660,1.099132e-05,0.0040,0.0021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clock [MHz] STAT,44081.2313,1237.2749,1509.6832,1377.5385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI STAT,75.4444,1.3233,3.9676,2.3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issued UOPs STAT,136820944,11962,10355510,4.275654e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merged UOPs STAT,52729,393,26289,1647.7812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Executed UOPs STAT,93461185,11775,9182377,2.920662e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retired UOPs STAT,136859375,9557,10501420,4.276855e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
